Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
positive regulation of homeostatic process (GO:0032846),0.8894897973787881,1.3030644987436082,0.0,0.3680145268892194,84,22,SMARCA4;HIF1A;TNFSF11;ANO1;PML;STX4;SLC22A5;DEF8;FKBP1B;SMARCB1;P2RX2;ADAM8;ACVR1B;ARNT;P2RX4;NR1H3;HNF4A;PIK3CD;ETS1;STAT1;RAD50;TRPM4,SMARCA4;HIF1A;TNFSF11
Fc receptor signaling pathway (GO:0038093),0.8574111842410601,1.2487932090436646,0.003,0.41681645328105055,184,22,NFATC2;SOS1;TRAF6;IKBKB;GRB2;PSME2;BTK;RELA;KRAS;FBXW11;TAB1;VAV2;BTRC;PLCG1;PAK1;MAPK10;NFKBIA;PSME1;MAPK3;GAB2;PLCG2;KIT,NFATC2;SOS1;TRAF6
negative regulation of cell projection organization (GO:0031345),0.8791214279312494,1.265208696992989,0.006,0.4330170927799782,42,16,EPHA4;STX1B;GAK;HDAC2;ERCC2;GRIN2B;KANK1;TRPV4;MYLIP;CBFA2T2;PTPRS;ADCY6;RTN4RL1;APOE;STMN2;DPYSL3,EPHA4;STX1B
Fc-epsilon receptor signaling pathway (GO:0038095),0.857427163886687,1.2514828999150285,0.004,0.48351908627972157,183,21,NFATC2;SOS1;TRAF6;IKBKB;GRB2;PSME2;BTK;RELA;KRAS;FBXW11;TAB1;VAV2;BTRC;PLCG1;PAK1;MAPK10;NFKBIA;PSME1;MAPK3;GAB2;PLCG2,NFATC2;SOS1;TRAF6
negative regulation of neuron projection development (GO:0010977),0.8791010125038494,1.2716511800204966,0.005,0.525020724502283,52,18,EPHA4;STX1B;GAK;HDAC2;ERCC2;RUFY3;EFNB3;KANK1;TRPV4;MYLIP;CBFA2T2;PTPRS;ADCY6;GDI1;RTN4RL1;APOE;STMN2;DPYSL3,EPHA4;STX1B
positive regulation of JUN kinase activity (GO:0043507),0.850905278486043,1.2220773552159296,0.012012012012012012,0.5316459860257642,51,17,TANK;TRAF6;SASH1;MAP3K11;MAP4K1;MAP3K6;HACD3;TAOK3;MAP3K20;DAB2IP;MAP3K9;PKN1;DVL2;MAP3K10;PAK1;MAP4K2;MAPK8IP3,TANK;TRAF6
alpha-amino acid metabolic process (GO:1901605),0.8560203765376276,1.2261106095056478,0.021,0.5455929651358419,32,15,MTHFR;ATP7A;CKM;DPEP1;CBS;CKB;GAMT;SRR;GATM;STAT5A;SLC6A8;CPS1;HNF4A;DDAH2;ALDH6A1,MTHFR;ATP7A;CKM;DPEP1
cytoskeleton-dependent cytokinesis (GO:0061640),0.8380363626516112,1.213841507640278,0.015,0.5890232509177994,71,19,RACGAP1;CIT;RTKN;CHMP4B;MYH10;APC;MITD1;RASA1;TMEM250;IST1;STMN1;SPIRE2;SEPT8;SEPT3;UNC119;ARL3;CUL7;SEPT5;SEPT6,RACGAP1;CIT;RTKN;CHMP4B
negative regulation of inflammatory response (GO:0050728),0.8444461055228671,1.2288286977163807,0.006,0.5965235469821177,79,19,OTULIN;ISL1;PPARG;VPS35;TNFAIP3;SHARPIN;PRKCD;NR1H3;PTGIS;NLRP7;CUEDC2;NLRX1;RORA;NLRP2;APOE;PPARA;PDCD4;TYRO3;GATA3,OTULIN;ISL1;PPARG;VPS35
ERAD pathway (GO:0036503),0.8090302838165291,1.1658039400722293,0.042,0.6748666394726107,78,17,MAN1B1;ATXN3;RHBDD1;USP19;OS9;TRIM13;SEL1L;FBXO6;TMEM67;RNF5;BAG6;POMT1;AMFR;TMEM129;DZIP3;PRKN;FOXRED2,MAN1B1;ATXN3;RHBDD1;USP19;OS9;TRIM13
