Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
cellular response to oxidative stress (GO:0034599),0.8289330124047247,1.2620423845330688,0.001,0.27439348038081623,116,27,HTRA2;HMOX1;ROMO1;RAD52;ATP13A2;PYCR2;CRYGD;MAPT;PDGFRA;AKT1;VRK2;HSPA1B;TMEM161A;PRKCD;PRDX2;GPX7;NFE2L2;ARNT;PRDX5;GPX3;SIRT2;CYBA;HSPA1A;CCS;MAPK3;PLA2R1;CAMKK2,HTRA2;HMOX1;ROMO1;RAD52;ATP13A2;PYCR2;CRYGD
positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436),0.835518405823032,1.2631825303019835,0.004,0.30444907605155586,71,21,VCP;RNF14;UBQLN2;PIAS1;STUB1;NUB1;ARIH1;HSPA1B;DVL1;TRIB1;PRKN;LONRF1;NFE2L2;RAD23A;SIRT2;RNF144A;RNF217;HSPA1A;CBFA2T3;NKD2;RNF125,VCP;RNF14;UBQLN2;PIAS1
"G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger (GO:0007187)",0.8317858545283818,1.2498695222086476,0.004,0.3353559195299634,126,19,VIPR1;ADRA2A;SSTR5;ADRA2B;WASF2;HTR1E;HTR1D;GNAI1;SENP7;GNAI2;CCL2;GNAZ;ADRA2C;CNR1;SSTR2;OPRL1;GCGR;GNAL;NPY1R,VIPR1
cellular response to fibroblast growth factor stimulus (GO:0044344),0.8747769992592429,1.3254871998416138,0.001,0.33602263109960556,95,24,GRB2;SHOC2;TBX1;FGF20;FGF17;FGFR3;ZFP36;CBL;FGFR2;KIF16B;FGFRL1;FLRT3;POLR2F;FRS2;NR4A1;SFRP1;FGF8;FRS3;FGFR4;CCL2;RBFOX2;MAPK3;ESRP2;ESRP1,GRB2;SHOC2;TBX1
fibroblast growth factor receptor signaling pathway (GO:0008543),0.8446231087357692,1.2639089296606298,0.002,0.34852347303039444,79,19,GRB2;SHOC2;FGF20;FGF17;FGFR3;CBL;FGFR2;KIF16B;FGFRL1;FLRT3;POLR2F;FRS2;FGF8;FRS3;FGFR4;RBFOX2;MAPK3;ESRP2;ESRP1,GRB2;SHOC2
protein complex disassembly (GO:0043241),0.8546282516845682,1.2691749972925852,0.006,0.36682470561706937,47,17,VCP;TECPR1;TSG101;GABARAPL2;FRAT1;VPS16;LRP5;LRP6;DVL1;FZD5;WNT8A;SNX14;DVL2;STX17;MAP1LC3A;APC;GABARAPL1,VCP;TECPR1;TSG101;GABARAPL2;FRAT1
chordate embryonic development (GO:0043009),0.8727794804690756,1.3011057627055262,0.001001001001001001,0.37652535895536154,57,17,LMX1B;TBX1;COL1A1;WNT11;PROX1;FGFR2;SULF2;BMP2;DVL1;IGF2;ISL1;GRHL2;BMP7;FUT8;GATA3;BMP5;VEGFA,LMX1B;TBX1;COL1A1
sensory perception of light stimulus (GO:0050953),0.8567354816200023,1.275972452236151,0.005005005005005005,0.3885261672089189,82,18,COL2A1;USH1G;EYA3;COL1A1;IMPG1;CRYGD;CACNA1F;CDH23;PAX2;DRAM2;WHRN;POU6F2;EML2;RGS16;BBS2;NUDT19;USH1C;PAX6,COL2A1;USH1G;EYA3;COL1A1;IMPG1;CRYGD
visual perception (GO:0007601),0.8627836802446925,1.2816667460234974,0.009,0.4360293665459167,79,16,COL2A1;EYA3;COL1A1;IMPG1;CRYGD;CACNA1F;PAX2;DRAM2;EYS;POU6F2;EML2;RGS16;REEP6;BBS2;NUDT19;PAX6,COL2A1;EYA3;COL1A1;IMPG1;CRYGD
regulation of exocytosis (GO:0017157),0.8167497851919585,1.223734848423254,0.014,0.5839393282710109,52,19,CFTR;EXPH5;NSF;RAB2B;RAB3A;VAMP2;UNC13D;LLGL1;ATP6AP1;RAB3C;RAB37;STX4;RIMS2;STXBP5;SEPT5;RALB;LLGL2;RAB3D;RAB3B,CFTR;EXPH5;NSF;RAB2B;RAB3A;VAMP2;UNC13D
