Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
negative regulation of canonical Wnt signaling pathway (GO:0090090),0.6101412118112879,0.9955110362298875,0.525,0.8657411138976401,149,29,UBB;PSMA4;NKX2-5;AMER2;TLE2;PSMB5;PSMC3;FZD6;RBMS3;HDAC1;DVL1;PSMB4;WNT11;DAB2IP;DVL2;PFDN5;SOX17;AXIN2;PSMD6;PSMA3;PSME4;KREMEN2;PSMD3;TNN;HECW1;PSMC4;GSK3B;PSME2;AES,UBB;PSMA4;NKX2-5;AMER2;TLE2;PSMB5;PSMC3;FZD6
regulation of gene expression (GO:0010468),0.5835155887174753,0.9960535862512019,0.514,0.8662203822203695,1038,127,TP53;SRPK2;ZNF326;PHOX2B;ZNF503;GLRX2;NLRP3;PTP4A3;ZNF678;NUP107;ZNF660;RREB1;ZC3H7B;FGF19;ESRRB;TOB1;ZNF616;MAPK13;AVPR2;NFYB;CITED2;ZNF320;CDH3;ZC3H12A;TLR2;ZNF227;ZNF132;PLSCR1;PGR;SRRT;RBM27;NOTCH2;TERF2;BMP4;ESR2;ANXA7;SOX15;HIVEP1;TTN;STC2;USP36;HAVCR2;RNF6;PRMT9;INHBA;ZNF552;RBMS3;CLK3;HDAC1;PQBP1;RAMP3;CXXC1;HSF4;ZNF510;WNT11;POU1F1;METTL16;ZKSCAN1;ITGB8;MAPK1;LMX1B;DDX4;CLU;NANOS2;PFDN5;VHL;HEY2;SOX17;PRMT5;PRMT6;VSTM2A;PINK1;ZNF703;ZNF121;BRD8;ZNF573;PUM2;CDK4;MAP2K2;IFNK;GON4L;AFF2;ZNF274;SMAD3;MYOD1;RUNX3;GCFC2;SNF8;NRL;NKX6-2;ZNF207;AVP;BRCA1;NLRP8;EGR1;BRAF;EP300;MEF2C;NFATC2;PIK3CB;DNMT3B;GPBP1;ZNF835;ZNF184;ATF2;RNF14;LILRB1;PIP;MLF2;ZNF607;SSRP1;MYCN;ZNF606;PPARGC1A;GSK3B;TCF20;ZNF148;ZNF417;ZNF629;ZNF175;ZNF383;POU6F2;SP1;AES;TTBK1;CSF2;SP140,TP53;SRPK2;ZNF326;PHOX2B;ZNF503;GLRX2;NLRP3;PTP4A3;ZNF678;NUP107;ZNF660;RREB1;ZC3H7B;FGF19;ESRRB;TOB1;ZNF616;MAPK13;AVPR2;NFYB;CITED2;ZNF320;CDH3;ZC3H12A;TLR2;ZNF227;ZNF132;PLSCR1;PGR;SRRT;RBM27;NOTCH2;TERF2;BMP4;ESR2;ANXA7;SOX15
protein complex assembly (GO:0006461),0.6337299306750734,1.0176354040448714,0.395,0.8663537165828677,190,23,CDC123;PREB;NLRP3;CSNK1D;TLE2;ZC3H12A;GOLGA2;SLC9A1;TLE3;STX5;NSF;HDAC1;RBMX;AXIN2;COL7A1;EP300;EPPIN;SCFD1;BCL10;FOLR1;SH3PXD2A;GSDMD;GSK3B,CDC123;PREB;NLRP3;CSNK1D;TLE2;ZC3H12A;GOLGA2;SLC9A1;TLE3;STX5
regulation of immune response (GO:0050776),0.6256205830779837,0.9965819831347765,0.504,0.8667863897440837,252,19,ICAM3;NLRP3;MICA;PLSCR1;KIR3DL1;CLEC2D;TREM2;NECTIN2;COL1A1;ULBP1;CD3D;BTN2A1;HCST;NLRP8;RIPK3;CSK;KIR2DL1;LILRB1;SPPL2B,ICAM3;NLRP3;MICA;PLSCR1
inflammatory response (GO:0006954),0.6156741947404492,1.0010275800015673,0.503,0.8690798466746655,253,28,NLRP3;FPR1;PTGDR;C3AR1;TOLLIP;SCG2;BDKRB2;CXCR4;S100A9;CXCR2;XCL1;PTGER2;PTGER3;NRROS;NANOS2;FOLR2;CXCL6;CCL24;ELF3;SCUBE1;NLRP8;CCL25;ITCH;PIK3CB;HYAL3;HDAC9;LTBR;CRHBP,NLRP3;FPR1;PTGDR;C3AR1;TOLLIP;SCG2;BDKRB2;CXCR4;S100A9;CXCR2;XCL1;PTGER2
defense response to bacterium (GO:0042742),0.6134704462454805,1.0016057897833925,0.492,0.8694627090285075,242,27,MAVS;DROSHA;OPTN;TLR2;DEFB127;GSDMC;MICA;SLPI;LTF;S100A9;DEFB132;RPL39;DEFB118;DEFB129;EPX;GSDMB;PGLYRP3;NANOS2;FCER1G;RARRES2;ANKRD17;IL6R;EPPIN;SPACA3;RNASE6;GSDMD;MPO,MAVS;DROSHA;OPTN;TLR2;DEFB127;GSDMC;MICA;SLPI;LTF;S100A9;DEFB132;RPL39;DEFB118;DEFB129
generation of neurons (GO:0048699),0.6144266166327502,0.9967803433180368,0.516,0.8700419073248374,131,26,PHOX2B;ELP3;WNT7A;NGRN;BTG4;ITM2C;ID3;AUTS2;PCSK9;RUNX1;MDGA1;WNT11;ADGRL3;LMX1B;PTPRD;CASP3;CDK5;UNC119;RUNX3;MEF2C;LRP12;WNT8B;PEX13;RAPGEF2;CCK;PROX2,PHOX2B;ELP3;WNT7A;NGRN;BTG4;ITM2C;ID3;AUTS2;PCSK9;RUNX1;MDGA1
protein modification by small protein conjugation (GO:0032446),0.5988016351171617,0.9985595442574811,0.505,0.8701800812143418,399,56,FBXL5;UBB;UBE2M;NUP107;KBTBD6;KLHL34;UBE2D2;KLHL29;UBE3C;UBR1;ASB9;UBA7;NUP54;ZNF598;RNF6;UBE3B;HECW2;MARCH2;KLHDC7B;KLHL31;RNF7;VHL;RRAGA;UVSSA;BIRC5;USP7;PINK1;AAAS;PEX5;LMO7;KLHL5;CCDC22;BRCA1;KLHL26;ITCH;TOP2A;NUP214;CAND2;KLHL38;BCL10;RNF14;HECW1;UBE2G2;BIRC7;FBXW7;EPAS1;KLHL32;CUL7;TRPM4;ASB11;DCUN1D5;FBXO25;UHRF2;RNF34;NUP85;NUPL2,FBXL5;UBB;UBE2M;NUP107;KBTBD6;KLHL34;UBE2D2;KLHL29;UBE3C;UBR1;ASB9;UBA7
positive regulation of vasculature development (GO:1904018),0.6518912169948596,1.0165017667128322,0.44344344344344344,0.8710923932196503,105,15,SPHK1;ZC3H12A;RRAS;FGF18;ECM1;NOS3;RUNX1;VEGFD;ITGB8;ANGPT4;ANGPTL3;BRCA1;EPHA1;RAPGEF2;SP1,SPHK1;ZC3H12A;RRAS;FGF18;ECM1;NOS3;RUNX1
adenylate cyclase-modulating G-protein coupled receptor signaling pathway (GO:0007188),0.6385515159511448,1.017710013754125,0.417,0.8714911712032063,135,19,FPR1;PTGDR;GRK5;GPR65;ADM;AVPR2;ADCY3;ADGRD1;PTGER2;RAMP3;CNR1;RAMP1;PTGER3;CALCRL;RXFP3;GCG;ADCY7;ADCY8;MC4R,FPR1;PTGDR;GRK5;GPR65;ADM;AVPR2
