Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
positive regulation of Notch signaling pathway (GO:0045747),0.9929297204754943,1.2706257842176776,0.0,0.02100016076678099,34,17,AAK1;DLL1;EPN2;TGFB2;MAML3;STAT3;KAT2B;POGLUT1;TSPAN17;ITGB1BP1;ZMIZ1;JAG1;NOTCH1;TSPAN14;TSPAN5;JAG2;RBPJ,AAK1
regulation of cellular protein metabolic process (GO:0032268),0.9592452575064151,1.2382063121675004,0.0,0.12175093206455169,51,23,RBM4B;RBM3;PM20D2;EIF2A;EDN1;DDX6;CSF1;PUM3;APOE;EIF2B4;ATXN2;UHRF1;EIF4G1;TCOF1;AKT1;CYFIP1;GEMIN5;FOXO3;CYFIP2;NOLC1;SSH1;TGFB1;MTPN,RBM4B
regulation of muscle cell differentiation (GO:0051147),0.9783386563720037,1.2483430717601445,0.004,0.12650096842846645,37,15,IGF2;CAMK1;PTBP1;MEF2A;CDON;ZFP36L1;MAPK11;FGFR2;BOC;FLOT2;MAPK14;CTNNB1;MAPK12;CDH2;TCF3,IGF2
regulation of axon extension (GO:0030516),0.9679471606146408,1.2391275000055653,0.002,0.15600119426751594,35,18,SEMA3G;ZFYVE27;EPHA4;LIMK1;ERCC2;APOE;TWF2;CTTN;NTN1;RTN4R;PLXNA1;SEMA7A;MAPT;PLXNA2;L1CAM;PTPRS;PLXNA3;GOLGA4,SEMA3G;ZFYVE27
posttranscriptional regulation of gene expression (GO:0010608),0.9417774658709669,1.210075790791117,0.0,0.38120291829985303,45,20,RBM4B;RBM3;SPOUT1;NANOS1;EIF2A;DDX6;PUM3;ZC3H7B;EIF2B4;ATXN2;TCOF1;CYFIP1;GEMIN5;FOXO3;CYFIP2;NACC2;MEX3D;NOLC1;METTL16;MTPN,RBM4B
vascular endothelial growth factor receptor signaling pathway (GO:0048010),0.9006004692300115,1.184350178855288,0.0,0.4953037917993631,71,38,SULF1;ACTB;MAPKAPK3;HSPB1;FYN;BRK1;SHB;BAIAP2;BMPR2;SHC2;ITGAV;RAC1;PIK3R1;PDCD6;ACTG1;MAPK11;NELL2;MAPK14;SRC;FLT1;ITGB3;CYFIP1;PXN;MAPK12;CYBA;NCK2;AXL;CYFIP2;VEGFB;DAB2IP;HSP90AA1;BCAR1;PGF;FLT4;VAV2;VEGFA;NRP1;VEGFC,SULF1
positive regulation of macroautophagy (GO:0016239),0.9302008884732971,1.180451269708914,0.019,0.511640280499755,45,15,TRIM13;TSC2;GNAI3;WAC;RALB;LARP1;MAP3K7;SH3GLB1;GPSM1;BNIP3;SPTLC2;PAFAH1B2;DCN;SPTLC1;PIP4K2B,TRIM13
positive regulation of translation (GO:0045727),0.9230335828000525,1.1972661326189198,0.004,0.5175039617528172,79,26,RPS6KB2;IMP3;THBS1;RBM3;EIF3D;ERBB2;C1QBP;YBX3;ELAVL1;RPS6KB1;PASK;LARP4B;TRMT10C;SOX4;EEF2;BCL3;EIF5A;KHDRBS1;YTHDF3;DHX9;LARP6;UHMK1;DDX3X;EIF4A3;HNRNPD;TGFB1,RPS6KB2;IMP3
protein N-linked glycosylation via asparagine (GO:0018279),0.921920007448856,1.1848204514806697,0.007,0.5407819177350428,45,20,ST6GALNAC2;UGGT2;STT3B;DPM3;NUDT14;DERL3;SYVN1;DDOST;ASGR1;ST3GAL4;RPN1;STT3A;ST6GALNAC6;FUT8;LMAN1;ST6GALNAC4;ST3GAL1;ST6GAL1;ST3GAL5;UBE2G2,ST6GALNAC2;UGGT2
negative regulation of angiogenesis (GO:0016525),0.9172526723360915,1.1869588104734938,0.005,0.5642543196502939,70,26,SULF1;SARS;EPN1;RGCC;THBS1;HGS;HOXA5;FOXC1;EPN2;HHEX;TGFB2;PGK1;SERPINF1;VASH1;NPR1;EFNA3;CTNNB1;FAM129B;SPRY2;ADGRB1;DCN;COL4A2;DAB2IP;ATF2;THBS2;SERPINE1,SULF1;SARS;EPN1;RGCC
