Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
positive regulation of cellular protein localization (GO:1903829),0.8737358725344104,1.423950883646691,0.0,0.05900832568969167,67,17,CARD10;CDK5RAP3;PARK7;OAZ2;AKT1;PRR5L;GTSE1;TM9SF4;CENPQ;KIF20B;CDK1;NDC80;TENM1;TPR;APC;GNL3L;BCAS3,CARD10
positive regulation of mitotic cell cycle phase transition (GO:1901992),0.7944692858619428,1.2918935376071143,0.008016032064128256,0.6265884075354547,41,16,CCND1;PHB2;RB1;ESPL1;DBF4B;NSMCE2;CDCA5;CDC45;CDK1;UBE2C;CCNB1;RPTOR;DLGAP5;DTL;UBE2E2;RAD51B,CCND1;PHB2
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146),0.7985786358424365,1.2936599387891146,0.011,0.8007796514499401,73,16,RBX1;PSMD7;PSME2;FBXL2;PSME4;PSME1;PSMB10;PSMB3;PSMC4;PSMD1;CCNF;PSMD14;FBXW11;FBXL5;KIF14;BTRC,RBX1;PSMD7;PSME2;FBXL2;PSME4;PSME1;PSMB10
positive regulation of DNA biosynthetic process (GO:2000573),0.7641681302431883,1.2666534432217154,0.014,0.8567208777252523,56,20,PARM1;CHTF18;PNKP;RFC5;DSCC1;RGCC;PARN;RFC3;XRCC5;ATR;MAP3K4;AURKB;NVL;NEK7;RFC4;RFC2;NEK2;TNKS;ATM;MAPK1,PARM1;CHTF18;PNKP
regulation of cellular response to stress (GO:0080135),0.5131742833991797,0.8682282196252773,0.921,0.9421566115669022,105,31,CHCHD2;NUP35;NUP133;NUP153;NUP210;NUP54;NUP188;RPA2;HSBP1;DNAJB1;NUP85;HIKESHI;NUP205;NUP37;NUP43;NUP93;NUP98;NDC1;ATR;NEK6;NUP107;EIF2AK4;ARMT1;MTOR;RPTOR;ATM;TPR;DNAJB6;CAMK2D;MAPK1;NEK4,CHCHD2;NUP35;NUP133;NUP153;NUP210;NUP54;NUP188;RPA2;HSBP1
peptidyl-serine modification (GO:0018209),0.5040853065264758,0.8678357333286755,0.957,0.9427960460492301,171,48,NAA10;PARP1;PSKH1;STK32C;CAB39;AKT2;GALNT11;HIPK2;RPS6KA3;IKBKB;TGFBR1;PRKCE;GALNT7;MAPK9;ROCK2;GALNT6;CLSPN;AKT1;DAPK2;ATR;NEK6;STK39;STK33;GAS6;DCLK1;AKT3;GALNT1;MAPK8;GALNT3;MASTL;CDK2;GALNT2;CDK1;MTOR;CAMK4;PRKCA;TTBK2;GALNT18;TNKS;VRK1;VRK2;ATM;GALNT10;MAST2;GALNT13;CAMK2D;MAPK1;CAMK1D,NAA10;PARP1;PSKH1;STK32C;CAB39;AKT2;GALNT11;HIPK2;RPS6KA3;IKBKB;TGFBR1
protein sumoylation (GO:0016925),0.5166723605799154,0.8687277974611255,0.925,0.9430746675209005,69,29,NUP35;SUMO1;NUP133;TOPORS;NUP153;NUP210;NUP54;TOP2B;NUP188;SENP1;NUP85;INCENP;RANGAP1;NUP205;NUP37;NUP43;NUP93;SENP5;SUMO3;NUP98;NDC1;AURKB;NUP107;CDCA8;SAE1;PCNA;TOP2A;TPR;BIRC5,NUP35;SUMO1;NUP133;TOPORS;NUP153;NUP210;NUP54;TOP2B;NUP188
mRNA transport (GO:0051028),0.5150378498107812,0.867162479835627,0.932,0.9438125829185718,105,30,NUP35;SRSF3;SLBP;SRSF4;NUP133;CPSF3;NUP153;NUP210;NUP54;SRSF2;NUP188;THOC3;ZC3H11A;SRSF1;NUP85;SRSF7;RBM8A;NUP205;NUP37;NUP43;NUP93;THOC7;U2AF1;NUP98;NDC1;ALYREF;BUD13;THOC6;NUP107;TPR,NUP35;SRSF3;SLBP;SRSF4;NUP133;CPSF3;NUP153;NUP210;NUP54;SRSF2;NUP188;THOC3;ZC3H11A;SRSF1
regulation of Ras protein signal transduction (GO:0046578),0.5248733873412266,0.8670539005167404,0.907,0.9439820057301287,91,24,ARF6;SPRY4;PLCE1;ASAP3;SGSM3;RASGRF1;RAF1;STAMBP;AGFG2;RALGPS1;ARHGDIB;ACAP2;ASAP2;APLP2;RASA3;FOXM1;DENND1A;SPRY2;RASA1;KIF14;OPHN1;EPHB2;MAPKAP1;AGAP1,ARF6;SPRY4;PLCE1;ASAP3;SGSM3
positive regulation of mitochondrion organization (GO:0010822),0.5372919980748974,0.8670046050868542,0.862,0.9440639845099144,129,15,APOPT1;HES1;DPH6;PPARGC1A;HUWE1;ABLIM3;HNMT;RHOU;MIS18A;TNFSF10;PEMT;PARK7;UBE2L3;SAE1;ARIH2,APOPT1;HES1;DPH6;PPARGC1A;HUWE1;ABLIM3
