Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
metal ion transport (GO:0030001),-0.3673469387755066,-1.2263279445727475,0.0,0.035781544256120526,102,19,SCNN1G;KCNA5;LRP2;SCN5A;KCNA4;KCNJ12;KCNC4;ASIC1;KCNJ3;KCNK6;SCN3B;SLC41A1;KCNJ4;SGK1;KCNK3;SCN2A;ATP1A2;AQP1;SLC38A7,SCNN1G;KCNA5;LRP2;SCN5A;KCNA4;KCNJ12;KCNC4;ASIC1;KCNJ3;KCNK6;SCN3B;SLC41A1;KCNJ4;SGK1;KCNK3;SCN2A;ATP1A2;AQP1;SLC38A7
monovalent inorganic cation transport (GO:0015672),-0.36721991701244694,-1.2305909617612978,0.0,0.06779661016949153,105,18,SCNN1G;KCNA5;SCN5A;KCNA4;KCNJ12;KCNC4;SLC36A1;ASIC1;KCNJ3;KCNK6;SCN3B;KCNJ4;SGK1;KCNK3;SCN2A;ATP1A2;AQP1;SLC38A7,SCNN1G;KCNA5;SCN5A;KCNA4;KCNJ12;KCNC4;SLC36A1;ASIC1;KCNJ3;KCNK6;SCN3B;KCNJ4;SGK1;KCNK3;SCN2A;ATP1A2;AQP1;SLC38A7
regulation of transforming growth factor beta receptor signaling pathway (GO:0017015),0.6530102930858276,1.330354799484205,0.028084252758274825,0.6051795256292062,80,18,PIN1;SMURF1;LTBP4;CAV1;STRAP;EID2;STK11;TGFB1I1;ITGA3;ZNF703;CDKN2B;TGFB1;BCL9L;VASN;SMAD6;CDKN1C;DKK3;HTRA3,PIN1;SMURF1;LTBP4;CAV1;STRAP;EID2;STK11
negative regulation of cytokine production (GO:0001818),0.6566274421835735,1.3312340643657008,0.01905717151454363,0.6628979359567464,111,17,GPNMB;C1QBP;PIN1;TRAF3;IKBKE;NLRX1;RPS6KA4;RNF216;NPLOC4;ARRB1;NLRC5;ASB1;MAVS;TRIM25;CMKLR1;CUEDC2;RARA,GPNMB;C1QBP;PIN1;TRAF3;IKBKE;NLRX1
negative regulation of response to external stimulus (GO:0032102),0.6996108821191656,1.4179721617263348,0.006036217303822937,0.6637838670438921,108,16,C1QBP;DRD1;TYRO3;CERS2;NLRX1;SHARPIN;APOE;TEK;PPARA;PTGIS;SIRT2;PPARD;SMPDL3B;MAPKBP1;TNFRSF1A;DRD2,C1QBP;DRD1;TYRO3;CERS2;NLRX1;SHARPIN
protein ubiquitination involved in ubiquitin-dependent protein catabolic process (GO:0042787),0.6582547181075937,1.345565031391994,0.022044088176352707,0.6795882448306515,71,17,KLHL25;RNF5;BTBD9;SMURF1;ANAPC2;ABTB1;ARIH2;RNF19B;KLHL38;UBE3C;KLHL18;AREL1;MYLIP;UBR4;BTBD11;HUWE1;WWP2,KLHL25;RNF5;BTBD9;SMURF1;ANAPC2;ABTB1
positive regulation of autophagy (GO:0010508),0.6535329873515584,1.3357587220298819,0.01805416248746239,0.6950544658854869,68,17,BAD;TPCN1;TFEB;SESN2;OPTN;PIK3CB;STK11;DAPK1;TSC2;PINK1;SUPT5H;SH3BP4;PIM2;LARP1;TRIM8;TRIM22;TICAM1,BAD;TPCN1;TFEB;SESN2;OPTN;PIK3CB;STK11
sulfur compound biosynthetic process (GO:0044272),0.6320405493079787,1.346922362872195,0.006,0.7750789598665667,123,28,PXYLP1;ANGPT1;CHST3;GGT7;GGT5;CSPG4;UST;DSEL;XYLT2;OPLAH;B4GAT1;ST3GAL3;ST3GAL4;CHST11;MGST1;ST3GAL2;GGT1;PAPSS2;ST3GAL1;B3GNT7;CHPF2;CHPF;CHSY1;MPST;CSGALNACT1;EXT1;EXTL3;PRELP,PXYLP1;ANGPT1;CHST3;GGT7;GGT5;CSPG4;UST;DSEL
glycolipid metabolic process (GO:0006664),0.6246781116918328,1.3047830704707404,0.027054108216432865,0.8133753445881816,66,21,CPTP;GBGT1;SUMF1;GALC;NEU1;FUCA1;ASAH1;SMPD3;ST6GALNAC6;ST3GAL4;ST3GAL2;ARSI;SMPD1;GBA2;ARSA;GLTP;ARSJ;ST6GALNAC4;ARSB;CTSA;PSAP,CPTP;GBGT1;SUMF1;GALC;NEU1;FUCA1;ASAH1;SMPD3
sphingolipid metabolic process (GO:0006665),0.6512003180405369,1.348739142469036,0.018,0.9001945776487137,117,22,CPTP;ALDH3A2;PPM1L;CERS2;SUMF1;GALC;NEU1;ASAH1;SMPD3;ST6GALNAC6;DEGS1;ARSI;SMPD1;GBA2;ARSA;GLTP;ARSJ;ARSB;PPP2R1A;CTSA;PSAP;PLA2G15,CPTP;ALDH3A2;PPM1L;CERS2;SUMF1;GALC;NEU1;ASAH1;SMPD3
negative regulation of cell adhesion (GO:0007162),0.6247388866874286,1.2814623777863334,0.05110220440881764,0.9604089284429241,66,18,ANGPT1;PLXNA3;NF2;PODXL;DMTN;PLXNA1;SIPA1;FZD4;TGFB1;PLXNB3;RND1;SPOCK1;PLXNB1;SPN;PLXND1;RIPOR2;PLXNB2;PLXNA4,ANGPT1;PLXNA3;NF2;PODXL
mitochondrial ATP synthesis coupled electron transport (GO:0042775),0.6257558842318245,1.287242794136917,0.044,0.9615397683642567,86,19,NDUFAF1;UQCR11;CYC1;UQCRC1;COX8A;UQCRFS1;NDUFS8;MT-ND3;COX5A;MT-ND2;MT-ND1;SDHA;NDUFV1;MT-ND4;NDUFB10;MT-ND4L;MT-CYB;MT-ND6;MT-ND5,NDUFAF1;UQCR11;CYC1;UQCRC1;COX8A;UQCRFS1;NDUFS8;MT-ND3;COX5A;MT-ND2;MT-ND1;SDHA;NDUFV1
regulation of protein localization to plasma membrane (GO:1903076),0.2552612501566914,0.5119768163825422,0.9969879518072289,0.9995990658460729,68,16,AKAP5;MRAP2;VPS4A;ITGA3;EPHA2;CIB1;BCL2L1;TGFB1;AP2M1;SPTBN1;EPHB2;LDLRAP1;STX4;RHOG;CDK5;CLIP3,AKAP5;MRAP2;VPS4A
glycosaminoglycan biosynthetic process (GO:0006024),0.6505303872577394,1.3657223350824772,0.004004004004004004,1.0,100,26,PXYLP1;ANGPT1;CHST3;CSPG4;UST;AGRN;GPC6;DSEL;XYLT2;B4GAT1;ST3GAL3;HS6ST2;ST3GAL4;GALNT5;CHST11;ST3GAL2;ST3GAL1;B3GNT7;CHPF2;CEMIP;CHPF;CHSY1;HSPG2;CSGALNACT1;EXT1;PRELP,PXYLP1;ANGPT1;CHST3;CSPG4;UST;AGRN;GPC6;DSEL
vascular endothelial growth factor receptor signaling pathway (GO:0048010),0.6969898329726973,1.4319344552902613,0.004004004004004004,1.0,71,17,BAIAP2;PXN;CYBA;PGF;PIK3CB;VEGFB;FYN;ELMO1;MAPK12;MAPKAPK2;PTK2B;SULF1;SHB;MAPK11;BCAR1;FLT1;NCK2,BAIAP2;PXN;CYBA;PGF;PIK3CB
cellular protein catabolic process (GO:0044257),0.6622740323845582,1.35198952508822,0.012012012012012012,1.0,63,20,CAPN2;SPATA18;RNF5;CTSB;CTSZ;CLTA;IDE;LONP1;AP2S1;TINAGL1;CTSH;AP2A1;AP2A2;ADAMTS12;AP2M1;MYLIP;RNF123;CTSA;CLPP;LGMN,CAPN2;SPATA18;RNF5;CTSB;CTSZ;CLTA;IDE;LONP1;AP2S1
