Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
regulation of anatomical structure morphogenesis (GO:0022603),-0.4373673036093418,-1.1334250343878955,0.0,0.06299212598425197,83,16,QRICH1;HEY1;HTATIP2;VASH1;CAMSAP1;STRIP1;AKAP13;SH3D19;MYO19;INF2;PHIP;POGLUT1;PLXND1;EFNA5;TGFB1;FMNL2,QRICH1;HEY1;HTATIP2;VASH1;CAMSAP1;STRIP1;AKAP13;SH3D19;MYO19;INF2;PHIP;POGLUT1;PLXND1;EFNA5;TGFB1;FMNL2
cellular response to metal ion (GO:0071248),0.6953888475383109,1.2746040710179474,0.03313253012048193,0.3831008804852839,101,15,ITPKB;AKR1C3;ECT2;SNCA;SYT1;MCOLN1;HVCN1;PKD2;CPNE7;EGFR;JUN;B2M;ANK3;CAMK2D;PRNP,ITPKB;AKR1C3;ECT2;SNCA;SYT1;MCOLN1;HVCN1
organonitrogen compound biosynthetic process (GO:1901566),0.6872843795541823,1.2793165626714333,0.02708124373119358,0.3842002023311876,182,16,PLPP2;LPCAT1;PRKD3;SPTLC3;ALDH3B1;COL4A3BP;KDSR;GPHN;ELOVL6;GPAT4;SLC44A5;LPIN1;FURIN;PLA2G4A;SLC44A1;PLPP3,PLPP2;LPCAT1;PRKD3;SPTLC3;ALDH3B1
positive regulation of transferase activity (GO:0051347),0.7000358301709021,1.3273282993000386,0.002,0.40420785992663527,138,22,AURKB;EPM2AIP1;KLF4;TEK;EPHA5;WRAP53;RAD50;PABPN1;HSP90AA1;EPHB4;MET;VAC14;CHTF18;EPHB1;HSP90AB1;ARRDC4;EGFR;SERINC5;TGFB1;PDGFRA;EPHB2;KDR,AURKB;EPM2AIP1;KLF4;TEK;EPHA5
protein autophosphorylation (GO:0046777),0.6956508175336542,1.3388850407092947,0.0,0.406301684558717,176,29,GRK5;MARK2;MAP3K3;FES;AURKB;STK11;TAOK2;TEK;CDK12;PRKX;AURKA;ATR;CAMKK2;MEX3B;ATM;JAK2;EPHB4;MINK1;VRK1;PASK;MAPKAPK3;TNIK;MAP3K12;MELK;EPHB1;EGFR;CAMK2D;PDGFRA;KDR,GRK5;MARK2;MAP3K3;FES;AURKB;STK11;TAOK2;TEK;CDK12;PRKX;AURKA
response to cytokine (GO:0034097),0.6892498725501692,1.2794306023921072,0.024024024024024024,0.4181304341035943,139,18,PTPN11;IL6R;YTHDC2;PRKCA;SNCA;BCL2L1;SMAD3;TRAFD1;JAK2;CHI3L1;IRAK3;MAPKAPK3;CXCR4;PTPN23;IL6ST;JUN;KYNU;IL1R1,PTPN11;IL6R;YTHDC2;PRKCA;SNCA;BCL2L1
cytoskeleton-dependent cytokinesis (GO:0061640),0.6975990544972273,1.283954103414348,0.03,0.42684110714009016,71,16,MITD1;KIF23;BRCA2;AURKB;ECT2;INCENP;CEP55;CKAP2;KIF4A;ANLN;APC;CUL7;NUSAP1;CIT;ANK3;STMN1,MITD1;KIF23;BRCA2;AURKB;ECT2
regulation of protein binding (GO:0043393),0.6980247255917006,1.2878399239587193,0.024024024024024024,0.4413649383181809,112,15,GNL3L;MITD1;MEN1;AURKB;CAPRIN2;TIAM1;AURKA;PRMT7;DDX11;RIPK2;BAX;B2M;BMP2;NES;HIPK2,GNL3L;MITD1;MEN1;AURKB;CAPRIN2;TIAM1;AURKA
protein polyubiquitination (GO:0000209),0.646978361049724,1.2597778367560626,0.003,0.4512405737710834,284,33,PSMA3;FBXL14;PELI1;MYLIP;UBE2C;THOP1;PSMD1;ANAPC13;RNF213;TMEM129;ANAPC2;PPIL2;PSMD3;HECTD1;PSMD2;RNF167;RNF144A;PSMC5;RNF114;UBB;HUWE1;SASH1;UBE2T;DDB2;RNF168;SPSB1;ZFP91;PRPF19;FBXL21;BRCA1;HERC5;DTL;HECW2,PSMA3;FBXL14;PELI1;MYLIP;UBE2C;THOP1;PSMD1;ANAPC13;RNF213;TMEM129;ANAPC2;PPIL2;PSMD3;HECTD1;PSMD2;RNF167
regulation of MAPK cascade (GO:0043408),0.709048082211691,1.348295769766263,0.003,0.4546590629663189,204,24,TNFRSF25;PAK3;TEK;EPHA5;NEK10;CDK12;DHX33;LIF;GDF5;LTBR;SPRED1;EPHB4;MET;HGS;GDF15;EPHB1;EGFR;TNFRSF1B;TGFB1;PDGFRA;EPHB2;BMP2;KDR;F2R,TNFRSF25;PAK3;TEK;EPHA5;NEK10;CDK12;DHX33;LIF
