Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
negative regulation of protein modification by small protein conjugation or removal (GO:1903321),0.9903830520212552,1.3534740544775572,0.0,0.0030000595545320997,47,17,CTNNB1;ISG15;CHORDC1;UBXN1;N4BP1;GTPBP4;CRY1;RPL5;CAV1;DNAJA1;BAG5;SENP2;RPS3;SPOPL;PER2;UFL1;TNFAIP3,CTNNB1
negative regulation of NF-kappaB transcription factor activity (GO:0032088),0.9807754758097228,1.346920406525393,0.0,0.0060001191090641995,83,18,CDKN2A;TAX1BP1;CHORDC1;NLRC5;NFKBIL1;CHUK;BRMS1;KLF4;IRAK2;CYP1B1;NLRP2;NFKBIA;ZC3H12A;ZNF675;UFL1;TNFAIP3;SIRT1;TMSB4X,CDKN2A
response to organic cyclic compound (GO:0014070),0.9786079666125502,1.3341914854925279,0.0,0.01050020844086235,70,15,CTNNB1;CDKN2D;MAPK1;PAQR7;NKX3-1;CYP1B1;CYP1A1;HMOX1;TMEM173;TIPARP;TLR3;STAT3;IL18;PMAIP1;AQP3,CTNNB1
regulation of intrinsic apoptotic signaling pathway (GO:2001242),0.9328112153465824,1.2814757256893812,0.001,0.10833548391365917,48,18,HERPUD1;SIAH1;EIF2AK3;BCL2L11;NOC2L;LCK;BAX;BCLAF1;DDX3X;CAV1;NKX3-1;DNM1L;SLC9A3R1;UBQLN1;PLAUR;MCL1;BMF;PMAIP1,HERPUD1
RNA catabolic process (GO:0006401),0.9063007622197683,1.2344495323522966,0.011,0.2988392656264475,44,15,ZFP36L2;CNOT10;SIDT2;SUPV3L1;PPP1R8;METTL16;SKIV2L;ZPR1;RNASE6;DCP2;PABPC4;ZFP36;ERN1;ISG20;DIS3,ZFP36L2;CNOT10
negative regulation of apoptotic signaling pathway (GO:2001234),0.9011724815469919,1.238895438896513,0.0,0.31180618970103624,66,19,HERPUD1;CFLAR;TMBIM6;RELA;PSME3;NOC2L;TGFBR1;DDX3X;NR4A2;SH3RF1;GPX1;ACAA2;LGALS3;ITGAV;PLAUR;TRIAP1;CLU;MCL1;THBS1,HERPUD1
negative regulation of developmental process (GO:0051093),0.9133800348462809,1.2429233169849248,0.003,0.3427568041052924,71,16,RPS6KA6;RC3H1;CDK6;NODAL;SKIL;MARCH5;SUZ12;NKX3-1;ANXA2;RAPGEF3;BMP2;TBX18;TIMP1;ARHGDIB;CEACAM1;DDIT3,RPS6KA6;RC3H1
negative regulation of protein kinase activity (GO:0006469),0.84879546569819,1.1774379620259297,0.004,0.5393048234500056,110,25,TSC2;LRRC19;NF1;SMCR8;TAF7;WWTR1;EPHA1;DUSP10;TRIB3;CAMK2N1;FLRT3;CHORDC1;WARS;MVP;LRRC66;CORO1C;CAV1;PTK6;SPRED1;CDKN1B;TRIB1;SOCS4;SFN;CEACAM1;CDKN1A,TSC2;LRRC19
multivesicular body assembly (GO:0036258),0.8638795333296192,1.1764745952039286,0.02,0.5530698025825647,31,17,CHMP4A;PDCD6IP;CHMP4B;CHMP1B;STAM2;RAB11A;CHMP7;VTA1;VPS25;VPS37A;STAM;CHMP4C;IST1;VPS4B;TSG101;CHMP2B;CHMP5,CHMP4A
positive regulation of neuron death (GO:1901216),0.8565579364817255,1.178480629657872,0.012,0.5592611019573589,39,19,CTNNB1;ZNF746;NF1;FYN;PRNP;TLR6;EIF2S1;ITGAM;DKK1;BAX;FOXO3;DDIT4;EGR1;CLU;TLR4;EFNB2;ATF4;FOS;DDIT3,CTNNB1;ZNF746
