"rn"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"hgnc_symbol"
"1"	"ENSG00000006611"	198.167647880946	4.69745729404791	1.48764476931265	3.15764716883206	0.00159047932356628	0.0965695290925287	"USH1C"
"2"	"ENSG00000007062"	276.91830925383	4.97154357793257	1.49426114359061	3.32709151894714	0.000877575466113019	0.0685350374289085	"PROM1"
"3"	"ENSG00000012504"	95.6626886513232	4.60074604171856	1.52906553618419	3.00886125077399	0.00262228843030904	0.138422836492517	"NR1H4"
"4"	"ENSG00000016490"	338.886042793149	4.66796973910042	1.4640172233461	3.18846640918028	0.00143029626804478	0.092394800220498	"CLCA1"
"5"	"ENSG00000016602"	1427.58166141205	-5.44194471063058	1.49769048978619	-3.63355763273055	0.000279539970671678	0.0422550045359683	"CLCA4"
"6"	"ENSG00000023839"	149.884455498227	4.97938696748585	1.5272059183382	3.26045552056534	0.00111233412125266	0.0802710990539422	"ABCC2"
"7"	"ENSG00000043039"	144.849577148157	-4.37039422945695	1.48906458184659	-2.93499307064119	0.0033355513669404	0.163656342479268	"BARX2"
"8"	"ENSG00000057149"	1354.89867394823	-5.9130005294321	1.54797495866123	-3.81982957563214	0.000133543912877025	0.0392294951834274	"SERPINB3"
"9"	"ENSG00000069011"	134.005223778777	-4.29847114684873	1.48851462895553	-2.88775875173287	0.003879973330647	0.176957823664148	"PITX1"
"10"	"ENSG00000073282"	334.754860557194	-5.25994321767082	1.51951870278005	-3.46158504534853	0.000537004423900589	0.055107950672417	"TP63"
"11"	"ENSG00000073792"	184.870405058967	3.82684900433868	1.42303388531653	2.68921846754722	0.00716195304899432	0.29211216039639	"IGF2BP2"
"12"	"ENSG00000074410"	205.268117348993	-4.67768777351433	1.49322691161183	-3.13260344903984	0.00173263357714591	0.103976252876935	"CA12"
"13"	"ENSG00000079112"	498.323857212021	5.38962453540099	1.50861489943983	3.57256483241829	0.000353501927398084	0.0455227442771506	"CDH17"
"14"	"ENSG00000084674"	334.496661667447	5.52204148728719	1.53447007910893	3.59866351417803	0.000319856717365263	0.0434167415642706	"APOB"
"15"	"ENSG00000086570"	400.466477997847	-5.19448463686321	1.50639185935998	-3.44829574362557	0.000564135971452827	0.055107950672417	"FAT2"
"16"	"ENSG00000087128"	1332.69356942997	-5.83959123899665	1.53591412535981	-3.80202977665085	0.000143515473537521	0.0392294951834274	"TMPRSS11E"
