Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
skin development (GO:0043588),0.9584684370904479,1.3227949661810285,0.0,0.06700078405172825,95,15,TGM1;DHCR24;SPRR3;JAG1;CLIC4;COL3A1;EPHA2;WNT5A;SFN;ADAM9;MET;ITGA3;PDGFA;CASP3;ANXA1,TGM1
termination of RNA polymerase I transcription (GO:0006363),0.852492444475611,1.164103997061375,0.052,0.5850837698018888,32,15,TAF1B;POLR2H;POLR2K;CDK7;POLR2L;POLR1E;GTF2H2;GTF2H3;UBTF;TWISTNB;CD3EAP;GTF2H1;POLR1A;POLR1B;CAVIN1,TAF1B;POLR2H
kidney development (GO:0001822),0.8533928707172929,1.169931696178671,0.043,0.5962797050139562,64,16,WFS1;FGF10;C1GALT1;PCSK5;WT1;PRKX;GLI2;MME;LRP4;SHH;TGFB2;PCSK9;SULF1;CENPF;GDNF;LHX1,WFS1;FGF10;C1GALT1
positive regulation of protein secretion (GO:0050714),0.8422364460185957,1.171554826153716,0.015,0.5980069979542314,83,23,SCAMP5;GOLPH3L;IL1A;TGFB1;F2RL1;TRH;GOLPH3;IRS2;GPI;POLR2D;GPER1;PTGER4;PPIA;TM7SF3;GAPDH;TGFB2;XBP1;EZR;ACHE;ADAM9;GLUD1;ANKRD1;CADM1,SCAMP5;GOLPH3L;IL1A
cellular response to nutrient levels (GO:0031669),0.8404355814573443,1.1612823727885297,0.025,0.6054144920450802,55,20,MTOR;WRN;PRKAA2;PLEKHF2;FNIP1;MAP1LC3B;SREBF2;PLEKHF1;SREBF1;ALB;FADS1;SIRT1;RRAGD;PCSK9;XBP1;KLF10;MARS;CDKN2B;FOXO1;HSPA8,MTOR;WRN;PRKAA2;PLEKHF2;FNIP1
transcription from RNA polymerase I promoter (GO:0006360),0.852492444475611,1.1642006865496042,0.036,0.6070471037427033,34,15,TAF1B;POLR2H;POLR2K;CDK7;POLR2L;POLR1E;GTF2H2;GTF2H3;UBTF;TWISTNB;CD3EAP;GTF2H1;POLR1A;POLR1B;CAVIN1,TAF1B;POLR2H
chaperone mediated protein folding requiring cofactor (GO:0051085),0.8470317027670758,1.1671459795620935,0.037,0.6134854399545008,25,16,HSPA4L;HSPA14;ERO1A;HSPA2;DNAJC7;HSPA4;BAG1;HYOU1;DNAJB12;HSPA5;PTGES3;HSPA13;HSPE1;HSPH1;HSPA9;HSPA8,HSPA4L
pyruvate metabolic process (GO:0006090),0.8588157565143227,1.1719778958746894,0.027,0.6205072612551848,47,15,PDHB;BSG;SLC16A1;PKM;DLAT;GLO1;ME1;PGAM1;LDHB;PGK1;PCK2;LDHA;ALDOA;HK2;HK1,PDHB
transcription initiation from RNA polymerase I promoter (GO:0006361),0.852492444475611,1.1645671924543033,0.032,0.6260489927719013,34,15,TAF1B;POLR2H;POLR2K;CDK7;POLR2L;POLR1E;GTF2H2;GTF2H3;UBTF;TWISTNB;CD3EAP;GTF2H1;POLR1A;POLR1B;CAVIN1,TAF1B;POLR2H
'de novo' posttranslational protein folding (GO:0051084),0.8467651072830711,1.1729036515670563,0.026,0.6386916845779438,31,19,HSPA4L;HSPA14;ERO1A;HSPA2;DNAJC7;HSPA4;BAG1;HYOU1;UGGT1;DNAJB12;CCT2;HSPA5;SELENOF;PTGES3;HSPA13;HSPE1;HSPH1;HSPA9;HSPA8,HSPA4L
hexose biosynthetic process (GO:0019319),0.8585564909694106,1.1748966897131081,0.034,0.6407852763288837,45,15,ALDOC;G6PC3;GOT1;AKR1B1;GPI;POLR2D;GAPDH;PGAM1;GOT2;CHST15;PGK1;PCK2;ALDOA;ENO1;ATF4,ALDOC;G6PC3
glucose metabolic process (GO:0006006),0.8590666429493425,1.1760831689216593,0.03,0.6579488758723272,65,15,ALDOC;G6PC3;GOT1;IRS2;GPI;POLR2D;ADPGK;GAPDH;PGAM1;GOT2;PGK1;PCK2;ALDOA;ENO1;ATF4,ALDOC;G6PC3
maturation of LSU-rRNA (GO:0000470),0.8497364325970882,1.178133686331753,0.016,0.6630077586014304,23,20,LAS1L;NHP2;NSA2;RPL7A;FTSJ3;MRPL1;RPL7L1;RPL35;EIF6;SNU13;RRP15;WDR12;RPF2;PES1;NOP2;RPL10A;MAK16;RPL7;RSL1D1;BOP1,LAS1L;NHP2
regulation of cardiac conduction (GO:1903779),0.8348922257075997,1.15606520618798,0.039,0.6631149027123873,68,20,ATP1A2;CALM2;ATP1A3;NANOS1;NPPA;NKX2-5;CALM1;ITPR1;ASPH;CXADR;ATP1B3;ATP2A2;ANK2;ACE2;ATP2B2;ATP1B1;RYR3;ITPR2;RYR2;CAV1,ATP1A2;CALM2;ATP1A3;NANOS1
regulation of organelle organization (GO:0033043),0.8835645439066415,1.2390362072011634,0.001,0.6640077703036951,114,24,TBC1D15;PDE4DIP;ADPRHL1;CDT1;MAPK1;TBC1D8;CAMSAP2;MARK2;STMN3;USP6NL;SYDE1;GOLPH3;SYT11;TBC1D2;CAPN6;CLIC4;SURF4;NEXN;DIAPH1;TMEM33;EZR;ZEB2;TBC1D4;EHD3,TBC1D15;PDE4DIP;ADPRHL1
negative regulation of BMP signaling pathway (GO:0030514),0.8617844340985361,1.179484663496491,0.03,0.6822746507317284,33,15,LRP2;TRIM33;SMAD7;BMPER;VWC2;NOTCH1;SPART;SKI;LEMD3;NOG;SKIL;RBPMS2;FBN1;GDF3;GREM1,LRP2;TRIM33;SMAD7
regulation of cell motility (GO:2000145),0.8037378424244657,1.1423044237804618,0.011,0.6836395789849947,110,36,TBCCD1;CCR7;PARD6B;ABL1;DOCK10;TGFB1;KIF2A;NRG1;PRKX;SPATA13;CRK;PKN2;RAC1;DAPK3;RCC2;NKD1;ERBB2;PLXND1;MACF1;KIF14;PLXNC1;FLNA;ROCK2;NEXN;DIAPH1;HBEGF;INPP5F;LDB2;SGK1;AMOTL2;LMNA;TWIST1;RND3;RHOB;CAVIN1;SERPINE2,TBCCD1;CCR7;PARD6B
regulation of cell-matrix adhesion (GO:0001952),0.8301624166926587,1.1478262711857197,0.048,0.6899777711776576,53,19,BST1;CCR7;NF2;EPHA3;PIK3CB;ACER2;ADAM15;CORO1C;CDH13;DAPK3;EPHA1;JAG1;MACF1;CDKN2A;ROCK2;GPM6B;PLAU;THY1;THBS1,BST1;CCR7;NF2
negative regulation of protein binding (GO:0032091),0.8268701899800932,1.152807133066782,0.029,0.6942839866688095,68,22,MAPK8;ITGB1BP1;DISC1;MAPRE1;PPP1CA;GNL3L;B2M;ADAM15;SORL1;GTPBP4;DAB2;GTSE1;AURKB;HSPA5;ACTB;BAX;DKK1;AURKA;NES;PDGFB;CAV1;DACT1,MAPK8;ITGB1BP1;DISC1;MAPRE1
myeloid leukocyte differentiation (GO:0002573),0.8202619347879034,1.1227777967724197,0.092,0.6984488513037234,51,16,PDE1B;CCR7;THOC5;GPR183;MAPK14;FOXP1;F2RL1;CAMK4;DHRS2;MMP9;SIRT1;PARP1;TGFBR2;GLO1;EPHA2;MYH9,PDE1B;CCR7;THOC5
positive regulation of protein kinase B signaling (GO:0051897),0.8022690449611442,1.14247528354736,0.008,0.6994946720624362,128,37,HPSE;CCR7;FGF16;ITGB1BP1;HCLS1;FGF10;TXN;PIK3CG;PIK3CB;TGFB1;PIK3R1;NRG1;GCNT2;FYN;IRS2;RTN4;OSBPL8;FAM110C;ERBB2;CALCR;MTDH;SPRY2;PDGFRB;HBEGF;ANGPT1;PTPN11;C1QBP;FGF1;MET;ITGB1;KITLG;PDGFA;TEK;IRS1;THBS1;PDGFB;FGF2,HPSE;CCR7;FGF16;ITGB1BP1;HCLS1;FGF10;TXN;PIK3CG
regulation of cation channel activity (GO:2001257),0.8481870362485643,1.1812287024339596,0.015,0.6997224739560022,72,21,CNIH2;NANOS1;MEF2C;ANK3;CALM1;DMD;MMP9;HOMER1;JPH1;KCNS1;FKBP1A;ANK2;CACNG4;NLGN1;JPH2;APP;CNIH3;STAC;NETO1;SHISA9;SLMAP,CNIH2;NANOS1
calcium ion transmembrane transport (GO:0070588),0.8126913703175536,1.1371238715890442,0.027,0.7007939150655713,87,25,PKD2;CACNA1C;GRIN2D;TRPM6;YME1L1;PHB2;LETM1;PHB;TRPM3;MCOLN1;TMCO1;PMPCB;CACNA1A;SLC24A3;NALCN;CACNA2D1;ATP2A2;FKBP1A;CACNG4;AFG3L2;MCUB;ATP2C1;ANO6;RYR3;ITGAV,PKD2;CACNA1C;GRIN2D
regulation of multicellular organismal development (GO:2000026),0.8306032102012537,1.1435006826022869,0.052,0.7019248806812278,44,17,HPSE;TRIP12;SMAD7;EPHA3;FOXP1;PHLDB2;CCSAP;GPX1;HMGB1;NOG;CDK1;PLA2G16;SUPT6H;TIAM1;FGF1;GREM1;DUSP6,HPSE;TRIP12;SMAD7
