Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
positive regulation of epithelial to mesenchymal transition (GO:0010718),0.939579635602761,1.3706135701628086,0.0,0.026001079629603997,41,20,MTOR;TGFBR2;ZNF703;GCNT2;ENG;GLIPR2;OLFM1;EZH2;WWTR1;TGFB1;TGFB2;NOTCH1;BAMBI;TIAM1;TGFB1I1;LEF1;PDPN;TWIST1;DAB2;LOXL2,MTOR;TGFBR2;ZNF703
receptor metabolic process (GO:0043112),0.922819469706111,1.3405668383185445,0.001,0.06750280288454884,59,17,SMURF1;ARFGEF2;CALCRL;NSG1;LRP1;LMTK2;AP2M1;TGFB1;ADM;DNM3;NEDD4;EHD3;ITGB1;TFRC;CD9;RAB31;CAV1,SMURF1;ARFGEF2
regulation of insulin secretion (GO:0050796),0.8958584953845189,1.3262790514227922,0.001,0.08467018238358225,99,23,STXBP4;RAP1A;ENSA;CACNA1C;MCU;TRH;ITPR1;SLC25A4;SLC25A6;NNAT;TM7SF3;CACNA1A;POLR2D;IRS2;SLC25A5;RAPGEF3;ARNTL;KCNA5;GPER1;GLUD1;IRS1;ITPR2;SLC2A1,STXBP4;RAP1A;ENSA;CACNA1C;MCU
positive regulation of mitotic cell cycle phase transition (GO:1901992),0.8768384040523043,1.2929601623967186,0.0,0.12683859998800412,41,21,CUL3;VPS4B;ANKRD17;PHB2;LSM10;CDK4;DDX3X;CDC45;CDC7;RB1;RCC2;CDK1;DLGAP5;CCNB1;EIF4G1;CDCA5;DTL;UBE2C;CCND2;ESPL1;CCND1,CUL3;VPS4B;ANKRD17;PHB2;LSM10
regulation of smooth muscle cell proliferation (GO:0048660),0.8855717521864542,1.2850611864895745,0.004008016032064128,0.13600564729331324,45,15,IL6;XRCC6;XRCC5;RBPMS2;MFN2;ID2;IGFBP3;PRKDC;CDH13;FOXP1;IL6R;THBS1;PDGFRB;EDN1;PDGFB,IL6
regulation of cell-matrix adhesion (GO:0001952),0.891770500304834,1.293905285283901,0.004,0.14720611236452724,53,16,CSF1;DAPK3;CCR7;EPHA3;ADAM15;ACER2;ROCK2;CDH13;EPHA1;CDKN2A;JAG1;GPM6B;PLAU;MACF1;THBS1;THY1,CSF1;DAPK3;CCR7
regulation of axonogenesis (GO:0050770),0.8674570381223436,1.277532677886647,0.006,0.15000622863233073,56,20,MARK2;RTN4;LINGO1;CTTN;ABL1;ROBO2;SSH2;OLFM1;NTRK2;ARHGAP35;NGF;ZSWIM4;PLXND1;ROBO1;CHN1;LRP4;NGFR;PLXNC1;SLIT2;THY1,MARK2;RTN4;LINGO1;CTTN
positive regulation of cell motility (GO:2000147),0.8463253312466983,1.2953031418343104,0.0,0.1770073497861503,180,56,CSF1;ZNF703;SOD2;SPHK1;HRAS;CCR7;HSPA5;SYNE2;CARMIL2;ELP6;GCNT2;ZNF268;SEMA3A;MYLK;SEMA3C;FAM110C;DRD1;TGFB1;PDGFC;XBP1;CCAR1;MMP9;GTSE1;SPRY2;PDGFD;HBEGF;WNT5B;RACK1;SEMA7A;NOTCH1;SNAI2;CDH13;EPHA1;TIAM1;GPER1;ACTN4;F2RL1;PTP4A1;LEF1;PDPN;NTRK3;CXCL12;BCAR1;PLAU;TWIST1;DAB2;THBS1;PDGFA;PDGFRB;EDN1;FGF1;FLT1;RET;PDGFB;CAVIN1;CYR61,CSF1;ZNF703;SOD2;SPHK1;HRAS;CCR7;HSPA5;SYNE2;CARMIL2;ELP6
stress-activated protein kinase signaling cascade (GO:0031098),0.8581662128256913,1.260515803257046,0.003,0.19120793943001094,71,21,KAT7;NEK4;NFKB1;MAPK11;STK4;MAPK8;MAPKAP1;STK39;MAP4K4;SKP1;CHUK;MAP3K8;MAP3K14;MAP4K3;UBA52;RPS27A;MAP3K3;MAP3K4;CUL1;TNIK;NRK,KAT7;NEK4;NFKB1;MAPK11
negative regulation of supramolecular fiber organization (GO:1902904),0.864260886562287,1.246748449921059,0.016016016016016016,0.2045084917020776,55,15,DYRK1A;TWF1;CAMSAP2;FGF13;TRIM54;CORO1A;KATNB1;HSPA8;ARFGEF1;PFN1;LIMA1;NAV3;LDLR;CLU;SLIT2,DYRK1A;TWF1
