Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
RNA metabolic process (GO:0016070),0.43124044441049825,0.7492458313274218,0.989,0.9935194602281009,192,19,DEDD2;RNASET2;NCBP1;DDX53;PNPT1;POLR2K;RBFOX2;RNASEH2B;STK31;DDX25;TFIP11;SUPV3L1;RBM3;DIS3L2;HNRNPA1;PAPOLA;LSM8;SNRNP40;PPP1R8,DEDD2;RNASET2;NCBP1;DDX53;PNPT1;POLR2K;RBFOX2
positive regulation of macromolecule biosynthetic process (GO:0010557),0.4356660981534563,0.7588857108668139,0.979,0.994117614519702,143,18,PRKD2;CIRBP;VIM;SORBS1;MTOR;POLDIP3;THBS1;IL4;SIRT1;FGF10;MYC;CPEB3;KITLG;CD28;TLR4;RBM3;IL3;EIF3C,PRKD2;CIRBP;VIM;SORBS1;MTOR;POLDIP3
protein O-linked glycosylation (GO:0006493),0.40241854394605525,0.6898289769900968,0.9909819639278558,0.9966040274667967,116,16,ADAMTS7;B3GLCT;THBS1;ADAMTS5;B3GALNT2;LARGE1;MUC16;DPM2;A4GNT;DPM1;GALNT12;POFUT2;ST8SIA6;B3GALT2;MUC2;GALNTL6,ADAMTS7;B3GLCT;THBS1;ADAMTS5;B3GALNT2;LARGE1
positive regulation of cell differentiation (GO:0045597),0.42951554926927316,0.7605383582963886,0.985,0.9970889846506302,195,25,SOX6;GPC1;CDC42;SOX5;NPNT;MTOR;BCL9L;TGFB1I1;CTNNA1;PPARD;INSM1;ARNTL;CREB1;CTNNA2;CTGF;MAPK14;LEF1;CEBPB;BOC;IL18;ATP6AP1;ZFP36L1;ACVR2A;JUN;PLA2G10,SOX6;GPC1;CDC42;SOX5;NPNT;MTOR;BCL9L;TGFB1I1;CTNNA1;PPARD;INSM1;ARNTL
mRNA 3'-end processing (GO:0031124),0.41200356702914986,0.7061680287193743,0.985,0.9983306694764721,75,15,AHCYL1;NCBP1;POLDIP3;THOC5;SYMPK;CPSF7;RNPS1;MTPAP;CPSF3;SRSF1;SSU72;CSTF3;PAPOLA;SRSF7;CPSF2,AHCYL1;NCBP1;POLDIP3;THOC5;SYMPK;CPSF7;RNPS1;MTPAP;CPSF3
positive regulation of cytokine production (GO:0001819),0.6866585301802803,1.2255505001033065,0.017,1.0,221,27,POLR3B;IRF3;RPS3;FAM49B;STAT6;PAEP;TLR7;CLEC6A;RIPK1;PRKD2;INAVA;AGPAT2;POLR2K;HILPDA;IL4;CD46;CEBPB;POLR3GL;FLT4;CD28;IL18;TSLP;IRF5;TLR4;ATF4;TNFSF4;SERPINE1,POLR3B;IRF3;RPS3;FAM49B;STAT6;PAEP;TLR7;CLEC6A;RIPK1;PRKD2
positive regulation of cell proliferation (GO:0008284),0.6456528184053224,1.180145808512309,0.023,1.0,425,44,FOXP1;HMGN5;CAPNS1;OSM;LAMB1;HYAL1;E2F1;SHH;ACER2;PTPRC;SSR1;CDH13;RBPMS2;THBS1;UFL1;INSM1;HILPDA;REG3A;DYNAP;SIRT1;FGF10;LEF1;MYC;POU3F2;TSHR;CSNK2A1;TNFSF13;FLT4;NOP2;IL18;TSLP;LACRT;IL3;TNFSF4;CDC7;CDK2;RPS15A;ACER3;FGFR1;VIPR1;MATK;CDKN1A;GPER1;PRKCI,FOXP1;HMGN5;CAPNS1;OSM;LAMB1;HYAL1;E2F1;SHH;ACER2;PTPRC;SSR1
cytosolic transport (GO:0016482),0.7312915355794597,1.2621067099676442,0.02702702702702703,1.0,119,15,GOSR2;RNF126;RAB5A;BET1L;HOOK1;UBE2O;YKT6;MON2;GCC2;SNX16;ERC1;RAB6B;VTI1A;CLN5;TMEM87A,GOSR2;RNF126;RAB5A;BET1L;HOOK1;UBE2O;YKT6;MON2
negative regulation of protein modification process (GO:0031400),0.7217327893087628,1.2438219987829784,0.043,1.0,64,16,MAPT;WARS;P3H1;FBLN1;PPP1R16B;CRTAP;INSM1;SIRT1;PPP1R15B;CDK5RAP3;PTPA;CACTIN;EPHB2;XDH;ATP2B4;PPP1R8,MAPT;WARS;P3H1;FBLN1;PPP1R16B;CRTAP
negative regulation of dephosphorylation (GO:0035305),0.7140267608974459,1.2174487196199266,0.05,1.0,64,15,PPP1R16B;PPP1R35;DLG3;PLEKHF1;URI1;SPOCD1;CD2BP2;DLG2;RBM26;PPP1R36;PTPA;KNL1;CNST;PLEKHF2;PPP1R8,PPP1R16B;PPP1R35;DLG3;PLEKHF1;URI1;SPOCD1;CD2BP2
