Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
endosome to lysosome transport (GO:0008333),0.9642115978512822,1.316447232450256,0.0,0.03900060667610385,49,24,ADRB2;DTX3L;VPS18;GPRASP1;VPS11;SNAPIN;MTM1;SNX16;TGFBRAP1;VPS41;RHOB;KIF13A;VCP;CLEC16A;LYST;UBXN6;VPS39;SCYL2;M6PR;ATG14;VIPAS39;VPS33A;VPS4B;VAMP7,ADRB2;DTX3L;VPS18;GPRASP1
positive regulation of cellular protein localization (GO:1903829),0.9549138409809588,1.30434570323065,0.0,0.04450069223299029,67,24,DTX3L;TENM1;BCAS3;PDCD10;KAT7;TM9SF4;CCDC88A;EIF2AK3;GSK3B;RUFY3;TPR;PARP9;KIF20B;NDC80;GTSE1;CDK1;CEP290;APC;RAB29;NUMA1;CENPQ;OAZ1;SESN2;STX3,DTX3L;TENM1
regulation of Rho protein signal transduction (GO:0035023),0.9419733516904587,1.2843789314713545,0.002,0.08166793705679866,58,18,ABL1;LPAR4;MYOC;ARAP1;LPAR6;AKAP13;CUL3;FLCN;STMN1;DLC1;F2RL2;CCDC125;ARHGDIB;RAF1;ARAP2;EPS8;TNFAIP1;COL3A1,ABL1;LPAR4
positive regulation of protein transport (GO:0051222),0.9180927086413235,1.25490250287129,0.0,0.17180267248601644,57,21,EZR;TENM1;DNM1L;TTN;CNST;MYOM1;BCAS3;EXPH5;PDCD10;ARHGEF5;IL1A;RUFY3;TPR;KIF20B;CEP290;RAB29;EXOC1;UNC13B;OAZ1;ANKRD1;GOLPH3L,EZR;TENM1
protein complex subunit organization (GO:0071822),0.9240453172012943,1.2583759048838077,0.0,0.1867529050451896,46,21,GREM1;ST13P5;NUP54;NUP35;COL11A1;NUP133;DDR2;COL11A2;NUP205;COL12A1;CYP1B1;ST13;ADAMTS3;TPR;NDC80;NUF2;NUP98;COL5A2;ATP7A;LUM;COL3A1,GREM1;ST13P5
regulation of actin filament polymerization (GO:0030833),0.9156224058343037,1.246569294814666,0.001,0.19500303338051925,69,21,ALOX15;RAC2;ARHGAP18;TENM1;TWF1;NCKAP1;BAIAP2L2;NCK1;CARMIL1;HAX1;FER;PAK3;NCKAP1L;BAIAP2L1;PTK2B;HCLS1;NCOA3;RASA1;EPS8;LMOD1;ARFGEF1,ALOX15;RAC2;ARHGAP18;TENM1;TWF1
regulation of cell cycle arrest (GO:0071156),0.9201759533681506,1.233588965330328,0.006006006006006006,0.2548611073632574,49,15,CDK9;CDK4;TP53;RPL23;PRKACA;ZBTB17;FAP;FOXO4;MDM2;CRLF3;BRCA1;PKD2;EVI2B;ID2;HMGN5,CDK9;CDK4
phosphatidylcholine metabolic process (GO:0046470),0.9054084349837377,1.227122437820729,0.001,0.27912934201198686,72,20,STARD7;APOA2;CSNK2A1;LPIN2;TMEM86B;LPCAT3;PCYT1A;PLA2G12A;PCTP;PLA2G16;PLA2G4A;PLA2G4C;MBOAT1;PCYT1B;CSNK2A2;PNPLA8;SLC44A2;SLC44A1;PLA2G6;ABHD4,STARD7;APOA2;CSNK2A1;LPIN2
positive regulation of protein localization to nucleus (GO:1900182),0.9035752735335332,1.2231244076976684,0.009,0.2794487914256444,43,17,DTX3L;ZIC1;CCT3;CCT7;NMD3;EFCAB7;CCT4;RBM22;KAT7;EIF2AK3;TPR;PARP9;JUP;GTSE1;CDK1;SESN2;ECT2,DTX3L;ZIC1;CCT3
positive regulation of actin filament polymerization (GO:0030838),0.9081751138336445,1.2193090135844136,0.009009009009009009,0.2881044816252697,52,16,ALOX15;RAC2;TENM1;NCKAP1;BAIAP2L2;NCK1;CARMIL1;FER;WASHC2C;NCKAP1L;BAIAP2L1;PTK2B;NCOA3;WIPF1;LMOD1;WIPF2,ALOX15;RAC2;TENM1
positive regulation of growth (GO:0045927),0.8930011608609019,1.2139662635318116,0.006,0.30927753825665566,72,21,CSNK2A3;EIF4G2;CSNK2A1;HYAL1;H3F3A;FGFR1OP;HDGFL2;USP47;CDC42;ADAM17;RPS6KA1;TAF9;N6AMT1;INO80;TAF9B;PSMD10;AKAP6;H3F3C;SDCBP;RPS6KA3;EXOSC9,CSNK2A3;EIF4G2;CSNK2A1;HYAL1;H3F3A
regulation of mitotic nuclear division (GO:0007088),0.8476574285226849,1.1784026057797017,0.002,0.4050063000980015,85,35,CDC14B;EGF;FBXO43;EREG;CCSAP;KNTC1;HSPA1B;SMC3;CHMP5;TOM1L1;CHMP1A;CHMP4C;BORA;MAP9;CHMP2A;CEP85;CHMP1B;PHIP;ANLN;CUL9;NME6;IL1A;TPR;CHMP2B;AURKA;KIF20B;CHEK1;CDC23;EPGN;TOM1L2;NUSAP1;NEK2;CDC25C;VPS4B;CEP97,CDC14B;EGF;FBXO43
positive regulation of secretion by cell (GO:1903532),0.8710850277014031,1.1788261985213317,0.025,0.41741558404039814,53,17,EZR;DTNBP1;DNM1L;TTN;RAB5A;MYOM1;EXPH5;UNC13D;IL1A;RAB9A;RAB2B;STXBP5;EXOC1;UNC13B;ANKRD1;GOLPH3L;CLASP2,EZR
negative regulation of cysteine-type endopeptidase activity (GO:2000117),0.8619356500272799,1.179417184097139,0.012,0.43000668899293987,73,23,TNFRSF10B;TNFRSF10C;LAMP3;CSNK2A1;SNCA;DNAJB6;USP47;LAMTOR5;YWHAE;CAST;CARD8;IGBP1;CARD16;RPS6KA1;IFI6;SFN;XIAP;BEX3;IFI16;RPS6KA3;RAF1;FNIP1;ARL6IP1,TNFRSF10B;TNFRSF10C;LAMP3;CSNK2A1
macromolecular complex assembly (GO:0065003),0.8356314967248571,1.1716461821309003,0.001,0.43019899967674713,121,45,CAPZA2;KIFAP3;DET1;ST13P5;PPIH;RIMS1;CAPN3;PML;CD74;LIN7A;PPP2R1A;NFS1;TP53;CNKSR3;KNTC1;ELP1;CREBBP;DMD;VAMP3;CAPZA1;MDM2;DARS;PARD6B;DNAJB14;MITF;MNAT1;PEX14;NDUFAF1;PARD3;NCKAP1L;HFE;ST13;YAP1;LPXN;TANK;MPHOSPH6;PTK2B;RANBP9;APC;WIPF1;CD2AP;TRAF1;SKAP2;IL1RAP;SH3BGR,CAPZA2;KIFAP3;DET1;ST13P5;PPIH;RIMS1;CAPN3;PML;CD74;LIN7A
regulation of cell differentiation (GO:0045595),0.8483426797799449,1.1723408344113746,0.007,0.4399268433064515,122,31,CDK9;PTPRQ;GREM1;DDX17;CDK6;PPP2R1A;ANP32B;CTGF;CREBBP;PRKACA;RPS6KA1;PLEKHB1;SUPT6H;UQCC2;PLEKHB2;OCIAD1;MCRIP1;FADS1;NR1D2;ISL1;BMPR1B;AKR1B1;SUZ12;TRPS1;APC;RPS6KA3;RAF1;TIAM1;TAF8;CLASP2;PHLDB2,CDK9;PTPRQ;GREM1
protein monoubiquitination (GO:0006513),0.8724458069955732,1.1799927635501517,0.015,0.44490692077432314,38,18,DTX3L;HUWE1;UBE2W;TOPORS;RNF20;UBE2T;UBE3D;LEO1;DTL;FANCL;CUL3;PEX12;CTR9;UBE2D3;PAF1;RAG1;KBTBD8;KLHL12,DTX3L;HUWE1
cholesterol metabolic process (GO:0008203),0.8505643758283219,1.1670916230426058,0.017,0.44947127748971333,69,23,FDX1;APOA2;CNBP;OSBPL1A;ARV1;STARD3;MVD;APOL2;NR0B2;PMVK;G6PD;IDI1;SNX17;MVK;ACAA2;LBR;HSD17B7;GGPS1;HMGCR;ACAT2;FDFT1;SOAT1;HMGCS1,FDX1;APOA2;CNBP;OSBPL1A;ARV1
base-excision repair (GO:0006284),0.8592992377140267,1.1728550090702183,0.016,0.45167369270188645,38,21,APEX1;HUWE1;USP47;TP53;APEX2;XPA;DNA2;POLK;LIG3;POLL;POLB;MUTYH;RPA2;WRN;ERCC6;NEIL3;RPA3;SMUG1;XRCC1;RPA1;TDG,APEX1;HUWE1
lysosomal transport (GO:0007041),0.8397043178101383,1.1674419328823475,0.007,0.4614516225807957,73,34,ADRB2;DTX3L;VPS18;GPRASP1;PCSK9;SORL1;PINK1;SPTBN5;AP1G1;VPS11;SNAPIN;MTM1;AP3M1;SNX16;TGFBRAP1;VPS41;RHOB;KIF13A;CLEC16A;VPS52;VPS39;SCYL2;NCOA4;M6PR;TMEM106B;ANKFY1;GCC2;ATG14;VIPAS39;VPS33A;VPS54;VAMP7;NEDD4;ZFYVE16,ADRB2;DTX3L;VPS18;GPRASP1;PCSK9;SORL1
secondary alcohol biosynthetic process (GO:1902653),0.8708581749539703,1.1804411253836031,0.019,0.4623756135621758,37,17,CNBP;ACAT1;ARV1;MVD;PMVK;G6PD;IDI1;MVK;ACAA2;LBR;HSD17B7;GGPS1;ERG28;HMGCR;ACAT2;FDFT1;HMGCS1,CNBP;ACAT1;ARV1
glycosphingolipid metabolic process (GO:0006687),0.8833757724166569,1.1963656218594145,0.011,0.4719240077067865,55,16,GBA2;HEXA;UGT8;PSAP;ESYT2;GLA;SUMF1;GBA;ARSE;ASAH1;GM2A;NEU3;GALC;ARSD;NEU1;UGCG,GBA2;HEXA
positive regulation of cell cycle (GO:0045787),0.8476660628530728,1.1636428091477973,0.016,0.4751108388889114,83,26,CDK9;CKS1B;CDK4;PRKCA;USP22;NKX3-1;RPL23;MAPRE3;ANKRD17;DUSP3;CCNL1;MDM2;CCNY;USP19;CCNT2;CCNH;CCNYL1;PSMD10;CHEK1;EVI2B;CCNC;CDKN1B;CCNB1;PKN2;HMGN5;CKS2,CDK9;CKS1B;CDK4;PRKCA;USP22
sterol biosynthetic process (GO:0016126),0.8708219421124399,1.1832253999626248,0.01,0.47988981789389923,41,19,CNBP;ACAT1;ARV1;MVD;PMVK;G6PD;IDI1;MVK;ACAA2;PRKAG2;LBR;HSD17B7;GGPS1;ERG28;HMGCR;ACAT2;FAXDC2;FDFT1;HMGCS1,CNBP;ACAT1;ARV1
positive regulation of type I interferon production (GO:0032481),0.8623446870101106,1.1805275729619333,0.011,0.48706313209316593,63,24,EP300;POLR3C;SETD2;TLR4;PQBP1;POLR2F;IFIH1;RNF135;FLOT1;IRF1;CREBBP;POLR3D;IRF7;XRCC6;XRCC5;POLR3B;TBK1;IFI16;STAT1;DDX58;NFKB1;POLR3GL;TLR3;PTPN22,EP300;POLR3C;SETD2;TLR4;PQBP1;POLR2F
response to gamma radiation (GO:0010332),0.8829632441890904,1.1837008745252562,0.025,0.5027578206772105,27,15,CRYAB;TLK2;TP63;TP53;ATR;ATM;MDM2;XRCC6;PRKAA1;WRN;XRCC5;LIG4;YAP1;DCUN1D3;FANCD2,CRYAB;TLK2
cholesterol biosynthetic process (GO:0006695),0.8614160668088426,1.1535032064047939,0.039,0.5274787934609702,36,15,CNBP;ARV1;MVD;PMVK;G6PD;IDI1;MVK;ACAA2;LBR;HSD17B7;GGPS1;HMGCR;ACAT2;FDFT1;HMGCS1,CNBP;ARV1
platelet degranulation (GO:0002576),0.8653884983108768,1.184110368329008,0.013,0.529341567535495,125,21,TUBA4A;EGF;SELENOP;TEX264;SOD1;PSAP;TTN;RARRES2;GTPBP2;APOOL;SCCPDH;ANXA5;VCL;F8;BRPF3;VTI1B;CLU;FAM49B;PROS1;SPARC;PHACTR2,TUBA4A;EGF;SELENOP
regulation of osteoblast differentiation (GO:0045667),0.8830409005897493,1.1895463237722046,0.016,0.5298543960256475,70,15,TMEM119;GREM1;CTNNBIP1;CDK6;PRKD1;TP63;PRKACA;DDR2;BMPR1B;MEF2C;NBR1;ATRAID;CYR61;ACVR2B;SUCO,TMEM119;GREM1;CTNNBIP1
regulation of extrinsic apoptotic signaling pathway (GO:2001236),0.8561258264657182,1.1537128250590576,0.052,0.5409781121847754,60,15,TNFRSF10B;TNFSF10;TMC8;PML;WWOX;PAK2;ZMYND11;PHIP;CYLD;CASP8;AKR1B1;TANK;HTT;SP100;TRAF1,TNFRSF10B;TNFSF10;TMC8;PML
negative regulation of protein ubiquitination (GO:0031397),0.8620549266294989,1.1573048343076313,0.045,0.5424417713164428,51,15,DTX3L;ABL1;PML;RPL23;HSPA1B;PRMT3;DNAJA1;PER2;TAF1;HIPK2;HFE;HDAC8;SENP2;UBXN1;UFL1,DTX3L;ABL1;PML
positive regulation of intracellular transport (GO:0032388),0.853039730163671,1.1560689916524267,0.025,0.5431697396296415,45,19,TENM1;SORL1;SPAG5;BAX;BCAS3;GAB2;PDCD10;TBC1D20;BAK1;STX18;GSK3B;RUFY3;TPR;KIF20B;CEP290;RAB29;NUMA1;OAZ1;NEDD4,TENM1;SORL1
sterol metabolic process (GO:0016125),0.8518946414248842,1.1544571849028995,0.03803803803803804,0.547821021660337,60,17,FDX1;APOA2;OSBPL1A;ARV1;STARD3;APOL2;NR0B2;PMVK;MVK;CYP1B1;PRKAG2;LBR;FDXR;CYP4V2;HMGCR;FAXDC2;SOAT1,FDX1;APOA2;OSBPL1A;ARV1
mitotic DNA damage checkpoint (GO:0044773),0.8541339180893613,1.1499831533546347,0.045,0.5604372893419612,40,16,TOPBP1;RAD9B;NEK11;NOP53;DONSON;CLSPN;TP63;TP53;MDC1;RPA2;CDK2;RPS27L;EME1;RFWD3;TAOK3;FANCI,TOPBP1;RAD9B;NEK11;NOP53
positive regulation of plasma membrane bounded cell projection assembly (GO:0120034),0.8674701612332896,1.184435918501804,0.006,0.5627944688663411,70,23,RAC2;TENM1;NCKAP1;ARPC2;RALA;CDC42;BCAS3;ARAP1;CEP120;ARHGAP35;NDEL1;ANLN;CCDC88A;TAPT1;CCP110;FUZ;GPM6A;FMR1;HTT;APC;WASF2;EPS8;BBS4,RAC2;TENM1
phospholipid metabolic process (GO:0006644),0.8505429762368091,1.1484636429057178,0.039,0.5657310224825719,71,17,APOA2;GNPAT;FITM2;PLAA;ACP6;AGPAT3;AGPAT4;GPAM;PLPP5;PLA2G16;FADS1;PLA2G4A;PLA2G4C;ALDH5A1;GDE1;PIP5K1A;FDFT1,APOA2
positive regulation of organelle assembly (GO:1902117),0.8357285385087831,1.1457436947726762,0.02,0.5890902447071099,48,26,LRSAM1;LCP1;KIAA1324;SPAG5;PIP4K2C;MYLK3;CEP120;ARHGAP35;RAB3GAP2;CNOT2;PDCD6IP;CCDC88A;STX18;CEP295;TAPT1;CCP110;FUZ;HTT;RAB3GAP1;PAN3;CNOT1;GPSM2;PLK4;SDCBP;NUMA1;BBS4,LRSAM1
positive regulation of stress-activated MAPK cascade (GO:0032874),0.8390490738439802,1.1424305451369263,0.031,0.5899841775316504,81,19,KARS;MID1;ZNF622;CTGF;DUSP22;MINK1;PDCD10;EDA2R;UNC5CL;MAP3K5;SASH1;HIPK2;IL1A;PTK2B;GADD45B;SDCBP;SEMA3A;DUSP19;TAOK3,KARS;MID1
microtubule cytoskeleton organization involved in mitosis (GO:1902850),0.8295075599113071,1.143138649342485,0.018,0.5944451443603652,45,28,SETD2;KIF2A;WDR62;AURKC;ESPL1;SBDS;SUN2;KIF4B;CENPE;SPC25;TACC3;TTK;EFHC1;STMN1;KIF4A;AURKB;CEP126;AURKA;DCTN2;PLK2;NDC80;NUF2;GPSM2;NUSAP1;CCNB1;MECP2;CLASP2;KIF3B,SETD2;KIF2A;WDR62;AURKC;ESPL1
positive regulation of cytoskeleton organization (GO:0051495),0.8346284341262302,1.143728673188777,0.025,0.6020356807889526,78,25,ALOX15;RAC2;TENM1;ABL1;TEK;NCKAP1;SPAG5;BAIAP2L2;CDC42;NCK1;CARMIL1;BCAS3;MYLK3;HAX1;FER;KATNBL1;NCKAP1L;BAIAP2L1;PTK2B;HCLS1;NCOA3;GPSM2;NUMA1;LMOD1;SYNPO,ALOX15;RAC2;TENM1;ABL1
defense response to bacterium (GO:0042742),0.8268021998460675,1.1323190508121277,0.032,0.6563145571636427,242,25,ARRDC1-AS1;DMBT1;PPP1R11;NLRC4;TLR4;GSDMC;HLA-E;IL23A;MICA;ROMO1;RARRES2;ANKRD17;ADAM17;DROSHA;HIST1H2BK;LYST;TLR1;HIST1H2BC;HIST2H2BE;HIST1H2BJ;PLA2G6;OPTN;TLR3;ANXA3;TLR6,ARRDC1-AS1;DMBT1;PPP1R11;NLRC4;TLR4
anatomical structure homeostasis (GO:0060249),0.839937454144598,1.1327238388159753,0.071,0.6648103414942009,36,15,APEX1;POLD4;DNA2;PCNA;ERCC4;XRCC6;RPA2;WRN;XRCC5;STN1;RPA3;TERF2IP;CTC1;SP100;RPA1,APEX1
actomyosin structure organization (GO:0031032),0.8374363947806402,1.1354855557939754,0.057,0.6654865424890736,72,18,CAPN3;RHOA;TTN;EPB41;MYH14;MYOM1;MYLK3;CUL3;EPB41L3;CDC42BPA;TMOD3;MYPN;F11R;EPB41L2;LMOD1;ANKRD1;MYLIP;TNFAIP1,CAPN3;RHOA
positive regulation of supramolecular fiber organization (GO:1902905),0.8259887237956238,1.1331413570154272,0.035,0.6726695546577188,85,24,ALOX15;RAC2;TENM1;PAK1;NCKAP1;BAIAP2L2;NCK1;SLAIN2;CARMIL1;MYLK3;AKAP9;FER;DCTN1;NCKAP1L;CLU;PSEN1;BAIAP2L1;PTK2B;CDK5RAP2;NCOA3;NUMA1;LMOD1;SYNPO;CLIP1,ALOX15;RAC2;TENM1
