Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
negative regulation of protein phosphorylation (GO:0001933),0.5480071400573535,1.0189420905078133,0.408,0.8490745234175199,179,27,LRRC4;DMTN;MYADM;GPD1L;PTPRC;TERF2IP;DNAJC10;PPP1R15B;DEPTOR;SMCR8;CEACAM1;ZBED3;ATG14;DUSP1;DKK1;AKT1S1;PAQR3;TRIB3;DDIT4;PTPN6;PID1;ZC3H12A;RTN4RL2;WARS;TESK1;NLRP12;RTN4R,LRRC4;DMTN;MYADM;GPD1L;PTPRC
regulation of protein phosphorylation (GO:0001932),0.5353568876816158,1.0167043653513708,0.439,0.864895602906982,262,43,RNF41;RIPK1;SPTBN4;MYADM;CSNK1D;SMG8;FMR1;AKAP8L;TBX1;TERF2IP;INHBA;DNAJC10;PPP1R15B;SOCS1;NOP53;GDF11;FLCN;FYN;INHBE;GDF15;ZBED3;TGFB2;ATG14;STAT2;CCDC88C;PAQR3;CARD14;SIRT1;NKX3-1;PAK6;PLXNB2;FAS;PID1;CCND2;ZC3H12A;CYR61;WARS;TGFB3;ROPN1L;EFNA1;TSPYL2;GPNMB;ITGB2,RNF41;RIPK1;SPTBN4;MYADM;CSNK1D;SMG8;FMR1;AKAP8L;TBX1;TERF2IP;INHBA;DNAJC10;PPP1R15B;SOCS1;NOP53
"transcription, DNA-templated (GO:0006351)",0.5216755247229804,1.0165518662070854,0.415,0.865895957199127,357,63,MLLT1;CTDP1;HIVEP1;SCX;NCBP2;TP53;MTERF1;NCOA6;PRMT5;IRF3;ZNF516;IRF9;TAF4B;RRAGC;CEBPA;ARNT;GTF3C4;HCFC1;MLF1;SUPT6H;ELOA;BAZ2A;MNT;NFATC2;POLRMT;MBD1;CDC73;HSF1;TCEA1;POLR3A;MAFF;FOXO4;TCEA2;CEBPB;XAB2;SMARCD3;SUPT5H;LMO4;NELFA;ARRB2;TWNK;NOCT;ZBTB32;TAF1;NFRKB;KLF4;KAT2A;ERCC6;KLF5;ELL;SNAPC4;NFXL1;EPC1;NFE2L1;NFKBIB;TAF1C;NFE2;GATA6;POLR2A;ZBTB7B;TRIM29;IRF7;GATA2,MLLT1;CTDP1;HIVEP1;SCX;NCBP2;TP53;MTERF1;NCOA6;PRMT5;IRF3;ZNF516;IRF9;TAF4B;RRAGC;CEBPA;ARNT;GTF3C4;HCFC1;MLF1;SUPT6H;ELOA;BAZ2A;MNT;NFATC2
protein complex assembly (GO:0006461),0.5455092517142743,1.016390937758873,0.43,0.867009446798122,190,27,RIPK1;PPP6R1;AHNAK;CSNK1D;CNIH1;TRADD;MZB1;CNIH2;DGKH;GORASP1;MYC;CDC73;EP300;TCF7;CX3CL1;BCL9;CREBBP;NBR1;MAPT;COL16A1;FOLR1;KMT2D;FERMT3;BCL9L;ZC3H12A;DDIT3;SLC9A1,RIPK1;PPP6R1;AHNAK;CSNK1D;CNIH1;TRADD;MZB1;CNIH2;DGKH;GORASP1
positive regulation of cellular amide metabolic process (GO:0034250),0.568624682149884,1.0128208448695086,0.4709418837675351,0.8922386202256156,62,15,GSK3A;FMR1;SMPD3;YTHDF1;EEF2;IL6;UPF3A;SMPD2;LARP6;HNRNPD;CLU;PIWIL2;CPEB3;UPF3B;EFNA1,GSK3A;FMR1;SMPD3;YTHDF1;EEF2;IL6;UPF3A;SMPD2;LARP6;HNRNPD
positive regulation of signal transduction (GO:0009967),0.5335999528938101,1.0127660691075027,0.431,0.892643525534341,207,40,FLNA;ATP6V0C;DMTN;ITGA5;IRS1;PTPRC;CYP27B1;DLL1;ASXL2;LANCL2;JAG2;ARNT;PPM1A;PIK3R1;RIMS2;CDC73;FGFBP1;TLR2;EP300;TSPAN14;MAML1;CDH3;HOMER1;ULK3;CREBBP;TGFB2;TRIM39;TPD52L1;SIRT1;NKX3-1;CTSH;TLR3;FAS;DLL4;ERN1;PRKD2;NOV;KIF7;CITED2;ELF3,FLNA;ATP6V0C;DMTN;ITGA5;IRS1;PTPRC;CYP27B1;DLL1;ASXL2;LANCL2;JAG2;ARNT;PPM1A
gene expression (GO:0010467),0.526347818223336,1.01073786194322,0.447,0.9022367019285801,412,42,SARS;NOL9;RPS16;SCX;NCBP2;DHX57;HARS2;EEF1A2;RPLP1;RRAGC;CEBPA;ARNT;POM121;GTF3C4;YTHDC2;MLF1;SYMPK;BAZ2A;HNRNPH3;POM121C;DHX38;HNRNPD;POLR3A;HELB;DEDD2;TSPAN14;CASC3;XAB2;UPF1;TSPAN33;SMARCD3;IGHMBP2;DHX33;RBPMS;SMG1;EPC1;NFKBIB;UPF3B;NFE2;POLR2A;WARS;GATA2,SARS;NOL9;RPS16;SCX;NCBP2;DHX57;HARS2;EEF1A2;RPLP1;RRAGC;CEBPA;ARNT;POM121;GTF3C4;YTHDC2;MLF1;SYMPK;BAZ2A;HNRNPH3;POM121C;DHX38
positive regulation of protein phosphorylation (GO:0001934),0.5168844952355388,1.0100047325497747,0.42,0.907374616281136,413,66,RIPK1;SHC1;ITGA5;ARAF;TP53;TNKS1BP1;CSNK1D;TRIM5;PTPRC;FMR1;RPLP1;TBX1;TERF2IP;INHBA;TNFRSF10A;CACUL1;TOM1L1;SDCBP;MAP2K3;ARHGEF2;CSPG4;MAPRE3;ALS2;CAMKK1;S1PR2;LATS1;TRIM6;IL6;KSR1;GDF11;RAPGEF2;LMTK2;FLCN;GPR37L1;ANGPT4;TNK2;MRNIP;LTBR;INHBE;GDF15;TGFB2;ATG14;SRC;CARD14;HCLS1;SIRT1;SPHK1;NKX3-1;DHX33;RBPMS;DDRGK1;FAS;WWC1;ALOX12B;CCND2;CDKN1A;CYR61;TRAF4;MST1R;PRKD2;TGFB3;EFNA1;ERBB3;FGFR3;GPNMB;IL6R,RIPK1;SHC1;ITGA5;ARAF;TP53;TNKS1BP1;CSNK1D;TRIM5;PTPRC;FMR1;RPLP1;TBX1;TERF2IP;INHBA;TNFRSF10A;CACUL1;TOM1L1;SDCBP;MAP2K3;ARHGEF2;CSPG4;MAPRE3;ALS2;CAMKK1;S1PR2;LATS1;TRIM6;IL6;KSR1;GDF11
regulation of tumor necrosis factor production (GO:0032680),0.5704958730854561,1.0099673931985942,0.45991983967935873,0.9076232250401307,62,15,RIPK1;LGALS9;TIRAP;ARHGEF2;CD14;RARA;TLR2;CLU;IL23A;LY96;ARG2;MC1R;TLR3;ZC3H12A;ZFP36,RIPK1;LGALS9;TIRAP;ARHGEF2;CD14
positive regulation of multicellular organismal process (GO:0051240),0.5459652706489646,1.0077963768724887,0.458,0.9233270116499595,203,26,SLC11A1;SCX;SNAI1;CYP27B1;IFI16;INHBA;SDCBP;CAPN7;WNT5A;BAMBI;ACVR1B;H2AFY2;TGFB2;SRC;SIRT1;IL23A;CTSH;METRNL;VDR;BCL9L;IL18;ALOX12B;CCDC88B;COL1A1;TGFB3;FOXC1,SLC11A1;SCX;SNAI1;CYP27B1;IFI16;INHBA;SDCBP;CAPN7
