Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
DNA-dependent DNA replication (GO:0006261),-0.40976863753214193,-1.3068251690920396,0.125,0.08947368421052632,57,15,PRIMPOL;GINS2;CDC45;MGME1;WDHD1;RFC1;PRIM1;RFC4;DNA2;ORC2;ORC4;CDC7;POLE2;REV3L;POLB,PRIMPOL;GINS2;CDC45;MGME1;WDHD1;RFC1;PRIM1;RFC4;DNA2;ORC2;ORC4;CDC7;POLE2;REV3L;POLB
regulation of cell differentiation (GO:0045595),0.6397262483333479,1.4455150013461129,0.009036144578313253,0.4128373659778992,122,17,ZNF268;PHLDB2;ANP32B;VHL;DDX17;MEGF10;SINHCAF;DLX1;EPHA3;ISL1;BIRC2;TFAP2A;LGALS3;TIAM1;DLX2;KLHL41;KIAA1109,ZNF268;PHLDB2;ANP32B;VHL;DDX17;MEGF10;SINHCAF;DLX1;EPHA3;ISL1;BIRC2
positive regulation of sequence-specific DNA binding transcription factor activity (GO:0051091),0.6107317411662525,1.4255271940938448,0.009009009009009009,0.4242225691163784,216,22,NLRC4;MALT1;ADAM8;COPS5;CEBPG;PRKCQ;MAP3K7;WNT5A;KIT;PRKCH;LGALS9;CD40;UBC;NPM1;STK3;LRP6;PSMA6;FANK1;PTEN;RPS27A;TANK;ATF2,NLRC4;MALT1;ADAM8;COPS5;CEBPG;PRKCQ;MAP3K7;WNT5A;KIT;PRKCH;LGALS9;CD40
negative regulation of apoptotic process (GO:0043066),0.5152401845024653,1.3129695680311455,0.001,0.49061562872283615,486,67,PSEN1;DNAJA1;MALT1;YWHAZ;BNIP3;ZNF268;ERBB3;MERTK;USP47;ADAM8;TOX3;SCX;BIRC5;COPS5;PPT1;STIL;WNT5A;KIT;VHL;NDNF;BARD1;SNCA;BNIP3L;EPHA3;PRKCH;ARL6IP1;ERCC5;ISL1;SIX4;NAA16;BIRC2;HMGN5;ATF5;EPHA1;FHL2;HDAC2;API5;TFAP2A;UFM1;UBC;HGF;NPM1;PRLR;HIGD1A;NME2;TNFAIP8;EPHA7;LEF1;PCID2;RASA1;FANK1;MET;KIF14;HMGA2;RPS27A;CAT;MAD2L1;FIGNL1;APIP;MSH2;DKK1;CDK1;VTCN1;MRE11;FZD3;PHIP;MMP9,PSEN1;DNAJA1;MALT1;YWHAZ;BNIP3;ZNF268;ERBB3;MERTK;USP47;ADAM8;TOX3;SCX;BIRC5;COPS5;PPT1;STIL;WNT5A;KIT;VHL;NDNF;BARD1;SNCA;BNIP3L;EPHA3;PRKCH;ARL6IP1;ERCC5;ISL1;SIX4;NAA16;BIRC2;HMGN5;ATF5;EPHA1
regulation of cell cycle (GO:0051726),0.550537024675422,1.3228253765751665,0.02,0.494443107728241,216,31,PAK6;ZNF268;TARDBP;METTL3;BIRC5;MAP3K4;CHEK1;MAP3K2;SLK;BRINP1;BIRC2;LIN9;PRR11;CCNB1;MASTL;UHRF2;ID2;FBXO5;CKS2;STK3;LRP6;HMGA2;CKS1B;CCNB2;FIGNL1;RBBP4;CDK1;CENPF;NEK1;CDC25C;MAP2K4,PAK6;ZNF268;TARDBP;METTL3;BIRC5;MAP3K4;CHEK1;MAP3K2;SLK;BRINP1
extracellular matrix organization (GO:0030198),0.5713989572538843,1.3283441296858642,0.03507014028056112,0.49538960813249105,230,22,SPP1;ADAM8;POSTN;SCX;FGG;VCAN;NDNF;LCP1;LAMB1;CTSK;NPNT;ITGAV;F11R;GPM6B;NF1;HAS2;VCAM1;COL4A4;COL4A3;ITGB6;SPINK5;MMP9,SPP1;ADAM8;POSTN;SCX;FGG;VCAN;NDNF;LCP1;LAMB1;CTSK;NPNT;ITGAV
positive regulation of ERK1 and ERK2 cascade (GO:0070374),0.5608769126832791,1.27089754096363,0.06559031281533804,0.4956942289522497,202,17,PDGFD;ERBB3;MERTK;GCNT2;CHRNA7;FGG;KIT;CD4;EPHA3;LGALS9;NPNT;EPHA1;PDGFC;HTR2C;HMGB1;EPHA7;MET,PDGFD;ERBB3;MERTK;GCNT2;CHRNA7;FGG;KIT;CD4;EPHA3;LGALS9;NPNT;EPHA1
positive regulation of MAPK cascade (GO:0043410),0.5583318686042387,1.3071403358173166,0.028,0.49675592210346736,290,23,PDGFD;ERBB3;MERTK;ADAM8;GCNT2;CHRNA7;FGG;KIT;LRRK2;CD4;EPHA3;LGALS9;CD40;NPNT;EPHA1;PDGFC;HTR2C;HMGB1;EPHA7;ADRA1B;ROBO1;MET;EZH2,PDGFD;ERBB3;MERTK;ADAM8;GCNT2;CHRNA7;FGG;KIT;LRRK2;CD4;EPHA3;LGALS9;CD40;NPNT;EPHA1
positive regulation of protein kinase activity (GO:0045860),0.6097891466234446,1.3860855395979135,0.013052208835341365,0.5034239822536253,173,18,PAK6;ERBB3;MAP3K4;MAP3K2;SLK;SNCA;CD4;TPX2;ECT2;STK3;KIF14;ETAA1;EZH2;DKK1;NEK1;MMD;MAP2K4;CENPE,PAK6;ERBB3;MAP3K4;MAP3K2;SLK;SNCA;CD4
positive regulation of apoptotic process (GO:0043065),0.5191402196642585,1.2727172493517942,0.021,0.5047110052171054,308,41,NLRC4;PSEN1;RBM5;DNAJA1;BNIP3;ZNF268;NET1;RPS6;ING3;ARHGEF19;DNM1L;ATF6;STK17B;BCLAF1;DKKL1;BARD1;SNCA;BNIP3L;VAV2;BCL2L11;TFAP2A;UBC;ITGB3BP;BMF;APAF1;SOS1;MELK;ECT2;FAM162A;NF1;HMGB1;TNFAIP8;EPHA7;STK3;MAP3K5;FANK1;HMGA2;RPS27A;TIAM1;CSRNP3;TOP2A,NLRC4;PSEN1;RBM5;DNAJA1;BNIP3;ZNF268;NET1;RPS6;ING3;ARHGEF19;DNM1L;ATF6;STK17B;BCLAF1;DKKL1;BARD1;SNCA;BNIP3L
inflammatory response (GO:0006954),0.5570401728172001,1.263592900049817,0.09154929577464789,0.5146991834294139,253,16,NLRC4;ADAM8;PTGER4;KIT;FOS;BLNK;ELF3;LGALS9;CD40;SCG2;F11R;NMI;HMGB1;PTGER3;AIMP1;ODAM,NLRC4;ADAM8;PTGER4;KIT;FOS;BLNK;ELF3;LGALS9;CD40
