Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
epithelial cell differentiation (GO:0030855),0.8664715435418068,1.316422793753685,0.002,0.20201667127869777,97,17,PIH1D1;CES1;KDM6B;ELF3;PTER;ZNF703;EDF1;ALDOC;ACADVL;TST;DAB2;VEGFA;VDAC1;PCK2;CNN3;TAGLN;PGK1,PIH1D1;CES1;KDM6B
response to metal ion (GO:0010038),0.8252668242211532,1.2572161536282103,0.021,0.2141287819329211,73,16,ALG2;SEC31A;ANXA11;HOMER1;CALM3;MT1X;CALM1;MT3;NEDD4L;NDRG1;HIF1A;ADAM9;CALM2;LOXL2;IL1A;THBS1,ALG2;SEC31A;ANXA11
positive regulation of supramolecular fiber organization (GO:1902905),0.8180063239990846,1.2511855153687264,0.008,0.21951811557264433,85,19,CCR7;CLASP1;CCL26;RAC1;BAIAP2L1;PSEN1;PFN2;CDC42EP3;ARF6;FER;RPS3;VASP;CFL2;PFN1;WDR1;EDN1;CCL11;LMOD1;SYNPO2,CCR7;CLASP1;CCL26;RAC1;BAIAP2L1
cytoplasmic translation (GO:0002181),0.7860140022287415,1.2466253281308945,0.0,0.22365482058757719,55,41,EIF3M;RPS26;FTSJ1;RPL36;RPS28;EIF4B;RPLP0P6;RPS29;RPS21;RPL10A;RPL30;RPL41;RPL11;RPS7;RPL26;RPL15;RPL18;RPS3;RPS3A;RPL19;RPLP2;RPLP1;RPL35A;EIF4H;RPL22;RPS20;RPS23;RPL4;RPL38;RPL18A;RPL27A;RPL6;RPL24;RPL39;RPL29;RPL31;RPL7;RPL8;RPL32;RPLP0;RPL9,EIF3M;RPS26
vascular endothelial growth factor receptor signaling pathway (GO:0048010),0.8269436244276855,1.259904595954981,0.008,0.22739376550492033,71,17,PAK2;ROCK1;WASF2;RAC1;CDC42;SRC;BRK1;RHOA;PRKD1;AXL;VEGFA;HSPB1;ITGB3;SULF1;ITGAV;ACTB;ACTG1,PAK2;ROCK1;WASF2;RAC1
negative regulation of blood vessel morphogenesis (GO:2000181),0.8360313210263058,1.2702350573962524,0.013013013013013013,0.23718624028843804,66,15,SERPINF1;ATF2;ROCK1;THBS2;HSPG2;COL4A3;TGFB2;STAT1;SARS;SULF1;SPARC;COL4A2;NPPB;PGK1;THBS1,SERPINF1;ATF2;ROCK1
positive regulation of protein polymerization (GO:0032273),0.8376133606578041,1.262619472216782,0.005,0.24616317157934672,65,15,CCR7;CLASP1;PINK1;CCL26;RAC1;BAIAP2L1;PFN2;CDC42EP3;ARF6;FER;RPS3;VASP;PFN1;CCL11;LMOD1,CCR7;CLASP1;PINK1;CCL26;RAC1;BAIAP2L1
negative regulation of angiogenesis (GO:0016525),0.8359958497133291,1.2723646812955167,0.012,0.27142239893583453,70,16,SERPINF1;ATF2;ROCK1;THBS2;HSPG2;COL4A3;TGFB2;STAT1;SARS;SULF1;SPARC;COL4A2;NPPB;PGK1;THBS1;SERPINE1,SERPINF1;ATF2;ROCK1
cellular response to fibroblast growth factor stimulus (GO:0044344),0.835604360082209,1.2787823084733805,0.008,0.29002393401397203,95,17,GRB2;GTF2F2;FGFR1;POLR2H;FGF1;CCL2;POLR2G;FGF7;SFRP1;NCBP2;SHOC2;CXCL8;UBC;UBA52;NR4A1;RPS27A;FGF2,GRB2;GTF2F2;FGFR1;POLR2H;FGF1
muscle contraction (GO:0006936),0.8189631650313278,1.2887850045298692,0.0,0.30169156354326976,138,28,MYOF;ROCK1;TPM3;OXTR;EMD;CALM1;ACTG2;TLN1;VIM;DYSF;SLC8A1;SNTA1;ALDOA;MYL12B;VCL;SNTB1;SLC6A8;ITGA1;MYL12A;TPM4;LMOD1;ACTA2;MYL6;TPM2;MYL9;MYLK;CALD1;TPM1,MYOF;ROCK1;TPM3
