Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
regulation of epithelial cell migration (GO:0010632),0.9070205943090008,1.2633892344536053,0.002,0.2836731465101148,49,19,CTSH;TGFB2;PFN2;EVL;BMPR2;EMP2;PPM1F;PRKCE;ARSB;MCC;PFN1;STRAP;MACF1;DAB2IP;DOCK5;HIF1A;PTPRG;PTK2;DOCK1,CTSH;TGFB2;PFN2;EVL;BMPR2
actomyosin structure organization (GO:0031032),0.909167619905065,1.2504911014687659,0.006,0.3297575325324691,72,17,MYLIP;TMOD1;CAPN3;TTN;SIX4;EPB41L1;MYH10;FRMD3;SORBS1;ARRB1;MYO18A;CDC42BPA;FRMD5;ITGB5;EPB41;EPB41L2;OBSCN,MYLIP;TMOD1;CAPN3;TTN
Fc-gamma receptor signaling pathway (GO:0038094),0.883019295264226,1.2333247446096964,0.002,0.37050846339129573,135,22,WIPF3;BAIAP2;FCER1G;PLCG2;ARPC1B;YES1;MYO1C;HSP90AB1;MAPK3;CYFIP2;PRKCE;LIMK1;VAV2;WASF2;PAK1;WIPF2;ARPC2;PIK3R1;PIK3CB;PTK2;DOCK1;CYFIP1,WIPF3;BAIAP2;FCER1G;PLCG2
negative regulation of neuron differentiation (GO:0045665),0.9078642703819548,1.2672484498462855,0.001,0.37100847481287647,65,21,MYLIP;DENND5A;LPAR1;CALR;RAB29;ERCC2;ASCL1;PTPN9;RTN4R;CBFA2T2;GSK3B;DLL1;ID1;GFI1;BMP7;RTN4RL1;SEMA3A;ID4;ID3;PTPRO;KANK1,MYLIP;DENND5A
Fc receptor mediated stimulatory signaling pathway (GO:0002431),0.883019295264226,1.2336729689692505,0.001,0.43941003728511563,136,22,WIPF3;BAIAP2;FCER1G;PLCG2;ARPC1B;YES1;MYO1C;HSP90AB1;MAPK3;CYFIP2;PRKCE;LIMK1;VAV2;WASF2;PAK1;WIPF2;ARPC2;PIK3R1;PIK3CB;PTK2;DOCK1;CYFIP1,WIPF3;BAIAP2;FCER1G;PLCG2
protein targeting to membrane (GO:0006612),0.8643490689064952,1.1933696135935368,0.021,0.4827253124346205,62,16,ATG4C;ZDHHC11B;ZDHHC23;MYO1C;ZDHHC7;ZDHHC2;ZDHHC11;RAB3IP;ICMT;ZDHHC14;PEX5;PEX3;ZDHHC3;ATG3;PARD3;EXOC4,ATG4C;ZDHHC11B
regulation of vesicle-mediated transport (GO:0060627),0.8338481437732529,1.1956549743619993,0.002,0.48970349381272466,139,42,PACSIN1;STXBP5L;RAB10;PINK1;TBC1D9;RAB17;TBC1D2B;RAB40C;TBC1D12;PACSIN3;RUFY1;RAB3D;CHMP3;UNC119;UVRAG;MAPK3;OPHN1;DNAJC13;BMP2K;RABGAP1L;PICALM;STXBP5;EVI5L;HIP1;RAB26;SGSM2;NRP1;TBC1D30;SNX17;SGSM3;TBCK;PTPN1;MAP2K2;TBC1D22A;TBC1D1;LLGL2;TBC1D9B;TBC1D16;RAB15;RAB21;TBC1D4;TBC1D5,PACSIN1;STXBP5L;RAB10;PINK1;TBC1D9
regulation of viral genome replication (GO:0045069),0.8726255402199636,1.1972469803390742,0.015015015015015015,0.5068449110089654,64,15,TOP2A;HACD3;EIF2AK2;PROX1;PPIA;BANF1;FAM111A;BST2;MX1;PKN2;ADARB1;IFIT1;ADAR;SRPK1;STAU1,TOP2A
regulation of cell cycle arrest (GO:0071156),0.8764361538867355,1.2121273793057052,0.009,0.5072615871936161,49,17,FZD9;GPER1;ZBTB17;CALR;HMGA2;TP73;CDK4;HSP90AB1;TFAP4;INSM1;MLXIPL;FOXM1;BRCA1;AKT2;BIN1;PKD2;DAB2IP,FZD9;GPER1;ZBTB17
protein import (GO:0017038),0.8787641816700527,1.2164416409522014,0.009,0.5095830687938121,57,17,NUP85;NUP62;RANBP3;SPRN;RANBP17;NUP214;NXT1;IPO8;KPNB1;HIKESHI;MCM3AP;NUP155;NUP93;RANBP1;PTTG1IP;RANBP2;NUTF2,NUP85
negative regulation of phosphatase activity (GO:0010923),0.8619494406246309,1.206782256836891,0.006,0.5204563330408845,69,22,PPP1R37;TGFB2;PLEKHF1;FKBP1A;CSRNP3;RIMBP2;PKMYT1;SEMA4D;SH3RF2;PPP1R26;PTPA;PPP1R35;GSK3B;SFI1;CEP192;FARP1;PPP1R12B;PPP1R1B;CNST;URI1;MYO1D;SYTL2,PPP1R37;TGFB2;PLEKHF1;FKBP1A
Fc-gamma receptor signaling pathway involved in phagocytosis (GO:0038096),0.8607739615010059,1.1994323970439749,0.012,0.5211028124546453,134,21,WIPF3;BAIAP2;PLCG2;ARPC1B;YES1;MYO1C;HSP90AB1;MAPK3;CYFIP2;PRKCE;LIMK1;VAV2;WASF2;PAK1;WIPF2;ARPC2;PIK3R1;PIK3CB;PTK2;DOCK1;CYFIP1,WIPF3;BAIAP2;PLCG2
